Fold,Site,N_Samples,ACC,AUC
1,CALTECH,8,0.5,0.5
1,CMU,4,0.5,0.75
1,KKI,9,0.8888888888888888,0.9500000000000001
1,LEUVEN,13,0.6923076923076923,0.8095238095238095
1,MAX_MUN,11,0.09090909090909091,0.13333333333333336
1,NYU,35,0.8,0.8966666666666667
1,OHSU,4,0.75,1.0
1,OLIN,7,0.5714285714285714,0.5833333333333334
1,PITT,11,0.8181818181818182,0.8333333333333334
1,SBL,6,0.8333333333333334,1.0
1,SDSU,7,0.5714285714285714,0.5833333333333334
1,STANFORD,8,0.625,0.75
1,TRINITY,10,0.5,0.6
1,UCLA,20,0.9,0.9696969696969696
1,UM,28,0.75,0.841025641025641
1,USM,15,0.8666666666666667,0.9400000000000001
1,YALE,11,0.7272727272727273,0.6000000000000001
2,CALTECH,7,0.7142857142857143,0.7500000000000001
2,CMU,6,0.8333333333333334,0.888888888888889
2,KKI,9,1.0,1.0
2,LEUVEN,12,0.75,0.6666666666666666
2,MAX_MUN,11,0.5454545454545454,0.5666666666666667
2,NYU,35,0.8,0.88
2,OHSU,5,0.8,1.0
2,OLIN,7,0.8571428571428571,1.0
2,PITT,11,0.6363636363636364,0.8333333333333333
2,SBL,6,0.6666666666666666,0.7777777777777779
2,SDSU,7,0.7142857142857143,0.8333333333333333
2,STANFORD,8,0.75,0.9375
2,TRINITY,10,0.6,0.68
2,UCLA,19,0.7368421052631579,0.8333333333333334
2,UM,28,0.6428571428571429,0.8
2,USM,14,0.7142857142857143,0.6888888888888889
2,YALE,12,0.75,0.7777777777777779
3,CALTECH,6,0.6666666666666666,0.7777777777777778
3,CMU,6,0.3333333333333333,0.33333333333333337
3,KKI,10,0.7,0.8333333333333333
3,LEUVEN,13,0.8461538461538461,0.7857142857142857
3,MAX_MUN,10,0.7,0.88
3,NYU,35,0.7142857142857143,0.7766666666666667
3,OHSU,6,0.6666666666666666,0.888888888888889
3,OLIN,7,0.8571428571428571,1.0
3,PITT,12,0.5833333333333334,0.8055555555555556
3,SBL,6,0.6666666666666666,0.5555555555555556
3,SDSU,6,0.6666666666666666,0.875
3,STANFORD,8,1.0,1.0
3,TRINITY,9,0.8888888888888888,0.9500000000000001
3,UCLA,20,0.65,0.7777777777777778
3,UM,27,0.8518518518518519,0.868131868131868
3,USM,14,0.7142857142857143,0.7555555555555555
3,YALE,12,0.5833333333333334,0.8333333333333333
4,CALTECH,8,0.625,0.875
4,CMU,6,0.8333333333333334,1.0
4,KKI,10,1.0,1.0
4,LEUVEN,13,0.6923076923076923,0.6904761904761905
4,MAX_MUN,9,0.3333333333333333,0.19999999999999998
4,NYU,35,0.8285714285714286,0.94
4,OHSU,6,0.3333333333333333,0.4444444444444445
4,OLIN,6,0.5,0.4444444444444444
4,PITT,11,0.6363636363636364,0.7666666666666667
4,SBL,6,0.3333333333333333,0.11111111111111112
4,SDSU,8,1.0,1.0
4,STANFORD,8,0.625,0.75
4,TRINITY,9,0.4444444444444444,0.6
4,UCLA,19,0.7368421052631579,0.8295454545454546
4,UM,28,0.7142857142857143,0.8153846153846154
4,USM,14,0.7142857142857143,0.8666666666666667
4,YALE,11,0.7272727272727273,0.8
5,CALTECH,8,0.625,0.8125
5,CMU,5,0.4,0.3333333333333333
5,KKI,10,0.5,0.6666666666666667
5,LEUVEN,12,0.6666666666666666,0.6285714285714286
5,MAX_MUN,11,0.45454545454545453,0.6666666666666667
5,NYU,35,0.6,0.6966666666666667
5,OHSU,5,0.4,0.6666666666666667
5,OLIN,7,0.5714285714285714,0.7500000000000001
5,PITT,11,0.7272727272727273,0.7666666666666666
5,SBL,6,0.5,0.33333333333333337
5,SDSU,8,0.625,0.8666666666666667
5,STANFORD,7,0.5714285714285714,0.75
5,TRINITY,9,0.8888888888888888,0.85
5,UCLA,20,0.6,0.7070707070707071
5,UM,29,0.6896551724137931,0.7666666666666666
5,USM,14,0.7857142857142857,0.9555555555555556
5,YALE,10,0.9,1.0
