Fold,Site,N_Samples,ACC,AUC
1,CALTECH,8,0.375,0.5
1,CMU,4,0.5,0.75
1,KKI,9,1.0,1.0
1,LEUVEN,13,0.6923076923076923,0.8095238095238095
1,MAX_MUN,11,0.45454545454545453,0.33333333333333337
1,NYU,35,0.7714285714285715,0.8766666666666667
1,OHSU,4,0.75,1.0
1,OLIN,7,0.5714285714285714,0.5833333333333334
1,PITT,11,0.9090909090909091,0.8333333333333334
1,SBL,6,1.0,1.0
1,SDSU,7,0.5714285714285714,0.5
1,STANFORD,8,0.75,0.75
1,TRINITY,10,0.6,0.6
1,UCLA,20,0.9,0.9595959595959596
1,UM,28,0.7857142857142857,0.8564102564102565
1,USM,15,0.8666666666666667,0.9400000000000001
1,YALE,11,0.7272727272727273,0.5333333333333333
2,CALTECH,7,0.8571428571428571,0.7500000000000001
2,CMU,6,0.8333333333333334,0.888888888888889
2,KKI,9,1.0,1.0
2,LEUVEN,12,0.5833333333333334,0.6944444444444444
2,MAX_MUN,11,0.5454545454545454,0.5333333333333334
2,NYU,35,0.8285714285714286,0.8866666666666667
2,OHSU,5,0.8,0.8333333333333334
2,OLIN,7,0.8571428571428571,1.0
2,PITT,11,0.9090909090909091,0.9333333333333333
2,SBL,6,0.6666666666666666,0.7777777777777779
2,SDSU,7,0.7142857142857143,0.75
2,STANFORD,8,0.875,0.875
2,TRINITY,10,0.6,0.8
2,UCLA,19,0.7368421052631579,0.8
2,UM,28,0.6785714285714286,0.7846153846153846
2,USM,14,0.7857142857142857,0.7555555555555555
2,YALE,12,0.75,0.8055555555555556
3,CALTECH,6,0.6666666666666666,0.7777777777777778
3,CMU,6,0.3333333333333333,0.4444444444444445
3,KKI,10,0.8,0.875
3,LEUVEN,13,0.8461538461538461,0.8571428571428572
3,MAX_MUN,10,0.7,0.88
3,NYU,35,0.7142857142857143,0.7766666666666667
3,OHSU,6,0.8333333333333334,0.7777777777777778
3,OLIN,7,1.0,1.0
3,PITT,12,0.5833333333333334,0.7777777777777778
3,SBL,6,0.6666666666666666,0.5555555555555556
3,SDSU,6,0.6666666666666666,0.875
3,STANFORD,8,1.0,1.0
3,TRINITY,9,0.7777777777777778,0.9500000000000001
3,UCLA,20,0.75,0.7272727272727273
3,UM,27,0.7407407407407407,0.8461538461538461
3,USM,14,0.6428571428571429,0.8222222222222222
3,YALE,12,0.8333333333333334,0.9444444444444444
4,CALTECH,8,0.625,0.6875
4,CMU,6,1.0,1.0
4,KKI,10,0.9,0.9166666666666667
4,LEUVEN,13,0.7692307692307693,0.6666666666666667
4,MAX_MUN,9,0.3333333333333333,0.14999999999999997
4,NYU,35,0.8857142857142857,0.9133333333333333
4,OHSU,6,0.3333333333333333,0.4444444444444445
4,OLIN,6,0.6666666666666666,0.6666666666666667
4,PITT,11,0.7272727272727273,0.7333333333333334
4,SBL,6,0.3333333333333333,0.22222222222222224
4,SDSU,8,0.875,0.9333333333333333
4,STANFORD,8,0.625,0.6875
4,TRINITY,9,0.5555555555555556,0.6
4,UCLA,19,0.7368421052631579,0.8068181818181818
4,UM,28,0.75,0.8153846153846154
4,USM,14,0.7857142857142857,0.8666666666666667
4,YALE,11,0.6363636363636364,0.8666666666666667
5,CALTECH,8,0.625,0.8125
5,CMU,5,0.4,0.3333333333333333
5,KKI,10,0.5,0.5416666666666667
5,LEUVEN,12,0.5833333333333334,0.7428571428571429
5,MAX_MUN,11,0.5454545454545454,0.6000000000000001
5,NYU,35,0.6571428571428571,0.7466666666666666
5,OHSU,5,0.4,0.5
5,OLIN,7,0.5714285714285714,0.8333333333333334
5,PITT,11,0.8181818181818182,0.8666666666666667
5,SBL,6,0.5,0.4444444444444445
5,SDSU,8,0.625,0.8666666666666667
5,STANFORD,7,0.7142857142857143,0.9166666666666666
5,TRINITY,9,0.7777777777777778,1.0
5,UCLA,20,0.55,0.696969696969697
5,UM,29,0.5862068965517241,0.7333333333333334
5,USM,14,0.7857142857142857,0.9333333333333333
5,YALE,10,0.9,0.9600000000000001
