Fold,Site,N_Samples,ACC,AUC
1,CALTECH,8,0.625,0.4375
1,CMU,4,0.5,0.5
1,KKI,9,1.0,1.0
1,LEUVEN,13,0.5384615384615384,0.8095238095238095
1,MAX_MUN,11,0.45454545454545453,0.4
1,NYU,35,0.7714285714285715,0.8866666666666667
1,OHSU,4,0.5,0.75
1,OLIN,7,0.5714285714285714,0.5833333333333334
1,PITT,11,0.8181818181818182,0.8333333333333334
1,SBL,6,0.6666666666666666,1.0
1,SDSU,7,0.5714285714285714,0.41666666666666663
1,STANFORD,8,0.625,0.625
1,TRINITY,10,0.5,0.5599999999999999
1,UCLA,20,0.85,0.9494949494949495
1,UM,28,0.8214285714285714,0.8871794871794872
1,USM,15,0.8666666666666667,0.9199999999999999
1,YALE,11,0.7272727272727273,0.5333333333333333
2,CALTECH,7,0.7142857142857143,0.9166666666666667
2,CMU,6,0.6666666666666666,0.888888888888889
2,KKI,9,0.7777777777777778,1.0
2,LEUVEN,12,0.6666666666666666,0.6944444444444444
2,MAX_MUN,11,0.2727272727272727,0.43333333333333335
2,NYU,35,0.8,0.91
2,OHSU,5,0.8,0.6666666666666667
2,OLIN,7,0.8571428571428571,1.0
2,PITT,11,0.6363636363636364,0.9666666666666668
2,SBL,6,0.6666666666666666,0.7777777777777778
2,SDSU,7,0.7142857142857143,0.75
2,STANFORD,8,0.75,0.75
2,TRINITY,10,0.8,0.84
2,UCLA,19,0.7368421052631579,0.8222222222222222
2,UM,28,0.6428571428571429,0.7794871794871796
2,USM,14,0.7857142857142857,0.8
2,YALE,12,0.75,0.8055555555555556
3,CALTECH,6,0.6666666666666666,0.7777777777777778
3,CMU,6,0.5,0.4444444444444445
3,KKI,10,0.9,0.875
3,LEUVEN,13,0.8461538461538461,0.8571428571428572
3,MAX_MUN,10,0.7,0.88
3,NYU,35,0.7428571428571429,0.7966666666666667
3,OHSU,6,0.6666666666666666,0.7777777777777778
3,OLIN,7,1.0,1.0
3,PITT,12,0.5833333333333334,0.763888888888889
3,SBL,6,0.6666666666666666,0.5555555555555556
3,SDSU,6,0.6666666666666666,0.875
3,STANFORD,8,0.875,1.0
3,TRINITY,9,0.7777777777777778,0.9500000000000001
3,UCLA,20,0.8,0.7676767676767677
3,UM,27,0.7037037037037037,0.7857142857142857
3,USM,14,0.6428571428571429,0.8222222222222222
3,YALE,12,0.8333333333333334,0.888888888888889
4,CALTECH,8,0.5,0.6875
4,CMU,6,1.0,1.0
4,KKI,10,0.9,0.9583333333333334
4,LEUVEN,13,0.6153846153846154,0.7380952380952381
4,MAX_MUN,9,0.3333333333333333,0.3
4,NYU,35,0.7714285714285715,0.8833333333333333
4,OHSU,6,0.3333333333333333,0.4444444444444445
4,OLIN,6,0.6666666666666666,0.7777777777777779
4,PITT,11,0.7272727272727273,0.7
4,SBL,6,0.3333333333333333,0.22222222222222224
4,SDSU,8,0.75,0.9333333333333333
4,STANFORD,8,0.625,0.6875
4,TRINITY,9,0.5555555555555556,0.5
4,UCLA,19,0.7894736842105263,0.8522727272727273
4,UM,28,0.7857142857142857,0.8
4,USM,14,0.8571428571428571,0.8222222222222222
4,YALE,11,0.7272727272727273,0.8666666666666667
5,CALTECH,8,0.625,0.8125
5,CMU,5,0.4,0.5
5,KKI,10,0.5,0.5833333333333333
5,LEUVEN,12,0.6666666666666666,0.8
5,MAX_MUN,11,0.5454545454545454,0.43333333333333335
5,NYU,35,0.6857142857142857,0.7183333333333334
5,OHSU,5,0.6,0.5
5,OLIN,7,0.7142857142857143,0.8333333333333334
5,PITT,11,0.6363636363636364,0.8
5,SBL,6,0.5,0.6666666666666666
5,SDSU,8,0.625,0.8666666666666667
5,STANFORD,7,0.7142857142857143,0.9166666666666666
5,TRINITY,9,0.7777777777777778,1.0
5,UCLA,20,0.6,0.6767676767676768
5,UM,29,0.5517241379310345,0.7142857142857143
5,USM,14,0.7857142857142857,0.9333333333333333
5,YALE,10,0.8,0.92
