Site,Total_Samples_Tested,ACC_Mean,ACC_Std,AUC_Mean,AUC_Std
CALTECH,37,0.6261904761904762,0.07957066626405249,0.726388888888889,0.16200661090001436
CMU,27,0.6133333333333333,0.2364083096866286,0.6666666666666666,0.23040490392586357
KKI,48,0.8155555555555555,0.19318640649466254,0.8833333333333334,0.15679073101855653
LEUVEN,63,0.6666666666666666,0.11322770341445958,0.7798412698412699,0.057093453070136774
MAX_MUN,52,0.46121212121212113,0.17032351866404416,0.4893333333333333,0.20135540717845152
NYU,175,0.7542857142857142,0.04333071682315174,0.8390000000000001,0.07159764117778057
OHSU,26,0.58,0.1757523510195209,0.6277777777777779,0.13333333333333333
OLIN,34,0.7619047619047619,0.1683587574253685,0.8388888888888889,0.15555555555555553
PITT,56,0.6803030303030303,0.09284553757486988,0.8127777777777778,0.08874293572997975
SBL,30,0.5666666666666667,0.14907119849998596,0.6444444444444444,0.257240820062005
SDSU,36,0.6654761904761906,0.07073071798815694,0.7683333333333333,0.1856220772310114
STANFORD,39,0.7178571428571429,0.10366375195499995,0.7958333333333333,0.140929454377398
TRINITY,47,0.6822222222222223,0.1426382803189441,0.77,0.2035681703999916
UCLA,98,0.7552631578947369,0.09564622023887502,0.8136868686868686,0.09040945754324572
UM,140,0.7010855683269476,0.10880107910494297,0.7933333333333333,0.055407286481491964
USM,71,0.7876190476190477,0.08950607727121504,0.8595555555555556,0.05555377774933241
YALE,56,0.7675757575757576,0.047257184702104084,0.802888888888889,0.13988990380004268
