Site,N_Total,ACC_Avg,ACC_Std
CALTECH,37,0.6226190476190476,0.03382921961519718
CMU,27,0.6133333333333334,0.28925190866555517
KKI,48,0.8177777777777777,0.19125963221124376
LEUVEN,63,0.6974358974358974,0.10566233914943353
MAX_MUN,52,0.4571717171717172,0.20234519313786878
NYU,175,0.7771428571428571,0.07395530917454161
OHSU,26,0.5900000000000001,0.21068670790747315
OLIN,34,0.6952380952380952,0.2946999704145867
PITT,56,0.7515151515151516,0.11216215468679848
SBL,30,0.6333333333333333,0.24720661623652207
SDSU,36,0.6952380952380952,0.17873999979955435
STANFORD,39,0.7642857142857142,0.12461675944548502
TRINITY,47,0.6644444444444444,0.2123356299660667
UCLA,98,0.7347368421052631,0.08899640504426751
UM,140,0.7146506112023353,0.06921526046686648
USM,71,0.7742857142857142,0.06094494002200439
YALE,56,0.7924242424242424,0.1280728815697222
