Site,N_Total,ACC_Avg,ACC_Std
CALTECH,37,0.6476190476190476,0.06646973464354107
CMU,27,0.58,0.3354930037356302
KKI,48,0.7733333333333333,0.16189464643159104
LEUVEN,63,0.7269230769230769,0.14948410077315222
MAX_MUN,52,0.4953535353535353,0.2081170900995665
NYU,175,0.8,0.06998542122237654
OHSU,26,0.5900000000000001,0.21068670790747315
OLIN,34,0.7238095238095238,0.2865068372665014
PITT,56,0.7121212121212122,0.12215542042876594
SBL,30,0.6666666666666667,0.263523138347365
SDSU,36,0.7238095238095238,0.19336536504527635
STANFORD,39,0.7857142857142857,0.19964892656248123
TRINITY,47,0.6822222222222222,0.169894665987088
UCLA,98,0.7347368421052631,0.11366776196795343
UM,140,0.7215654077723043,0.052043018978350244
USM,71,0.8019047619047619,0.09467691809972315
YALE,56,0.7160606060606061,0.0654117424582416
