Site,N_Total,ACC_Avg,ACC_Std
CALTECH,37,0.5476190476190477,0.11488249443820703
CMU,27,0.6133333333333334,0.28925190866555517
KKI,48,0.7977777777777778,0.1986684066540756
LEUVEN,63,0.6961538461538461,0.09503624001664998
MAX_MUN,52,0.4935353535353535,0.1976156205267587
NYU,175,0.7828571428571429,0.06880911187881311
OHSU,26,0.55,0.17716909687891086
OLIN,34,0.7285714285714285,0.24948927423675685
PITT,56,0.8227272727272726,0.08564292582462169
SBL,30,0.6333333333333333,0.24720661623652207
SDSU,36,0.6904761904761905,0.11580402653776029
STANFORD,39,0.7678571428571429,0.1651182322223833
TRINITY,47,0.6822222222222222,0.10171371103418497
UCLA,98,0.7352631578947368,0.11252269700251678
UM,140,0.7000821018062398,0.0637040712801664
USM,71,0.7876190476190477,0.07389396091912692
YALE,56,0.7709090909090909,0.07305324674170297
