Site,N_Total,ACC_Avg,ACC_Std
CALTECH,37,0.6511904761904762,0.03961800307688988
CMU,27,0.58,0.3354930037356302
KKI,48,0.7977777777777778,0.18565865399293707
LEUVEN,63,0.6961538461538461,0.1095009899414572
MAX_MUN,52,0.4553535353535353,0.15805159958641127
NYU,175,0.8,0.08081220356417683
OHSU,26,0.5900000000000001,0.21068670790747315
OLIN,34,0.6952380952380952,0.2577594019566544
PITT,56,0.746969696969697,0.12116476347590761
SBL,30,0.6333333333333333,0.24720661623652207
SDSU,36,0.7238095238095238,0.13031500732374174
STANFORD,39,0.8178571428571428,0.0792583607899005
TRINITY,47,0.6822222222222222,0.169894665987088
UCLA,98,0.7547368421052632,0.07538911065624908
UM,140,0.7077358146323663,0.06385678610500879
USM,71,0.8304761904761904,0.041046403694304644
YALE,56,0.7142424242424242,0.03195497291264019
