Site,N_Total,ACC_Avg,ACC_Std
CALTECH,37,0.5976190476190476,0.06419195102163291
CMU,27,0.6133333333333333,0.2364083096866286
KKI,48,0.731111111111111,0.14769839137517654
LEUVEN,63,0.6974358974358974,0.08770580193070295
MAX_MUN,52,0.4793939393939393,0.1486455531091893
NYU,175,0.7942857142857143,0.07395530917454166
OHSU,26,0.5,0.13743685418725535
OLIN,34,0.7285714285714285,0.14638501094227999
PITT,56,0.75,0.03936479108111085
SBL,30,0.6333333333333333,0.13944333775567924
SDSU,36,0.6952380952380952,0.17873999979955435
STANFORD,39,0.7142857142857142,0.11912200057255656
TRINITY,47,0.6822222222222223,0.1426382803189441
UCLA,98,0.7347368421052631,0.11366776196795343
UM,140,0.6862889983579639,0.09544153996553832
USM,71,0.8019047619047619,0.062142401020037395
YALE,56,0.750909090909091,0.0297023804594628
