Site,N_Total,ACC_Avg,ACC_Std
CALTECH,37,0.5976190476190476,0.06419195102163291
CMU,27,0.6533333333333333,0.20628997929021073
KKI,48,0.7755555555555556,0.21378424568640156
LEUVEN,63,0.65,0.09106174798502446
MAX_MUN,52,0.4935353535353535,0.1868681408673432
NYU,175,0.7657142857142858,0.07928249671720916
OHSU,26,0.58,0.1757523510195209
OLIN,34,0.7571428571428571,0.1564921592871903
PITT,56,0.7136363636363636,0.10112997936948633
SBL,30,0.6333333333333333,0.13944333775567924
SDSU,36,0.6952380952380952,0.17873999979955435
STANFORD,39,0.7928571428571429,0.0763901772721694
TRINITY,47,0.7222222222222222,0.19657562236615703
UCLA,98,0.7247368421052631,0.1343085297493607
UM,140,0.7005747126436781,0.11420439453929332
USM,71,0.8019047619047619,0.06214240102003737
YALE,56,0.750909090909091,0.06598828401451959
