Site,N_Total,ACC_Avg,ACC_Std
CALTECH,37,0.6511904761904762,0.23718576299559055
CMU,27,0.72,0.19804601036683928
KKI,48,0.5644444444444444,0.10012338067616718
LEUVEN,63,0.617948717948718,0.11755438541616382
MAX_MUN,52,0.5313131313131313,0.3422886415457152
NYU,175,0.7257142857142858,0.08475655413823616
OHSU,26,0.52,0.2949576240750525
OLIN,34,0.6428571428571429,0.20203050891044214
PITT,56,0.6772727272727272,0.08564292582462171
SBL,30,0.6666666666666667,0.23570226039551587
SDSU,36,0.8023809523809524,0.13023341595145807
STANFORD,39,0.6571428571428571,0.2256651167060589
TRINITY,47,0.5777777777777777,0.17829785039868012
UCLA,98,0.7157894736842105,0.1277739303822128
UM,140,0.6653895274584929,0.06195552473006994
USM,71,0.7314285714285715,0.09551151228826729
YALE,56,0.6990909090909091,0.0857741712178995
