Site,N_Total,ACC_Avg,ACC_Std
CALTECH,37,0.6511904761904762,0.09686116955622857
CMU,27,0.5700000000000001,0.16090024514862894
KKI,48,0.6666666666666667,0.13356461422412566
LEUVEN,63,0.6653846153846155,0.15145036269447915
MAX_MUN,52,0.488080808080808,0.17727546114326936
NYU,175,0.6514285714285715,0.06194138111051088
OHSU,26,0.6066666666666667,0.24540216425741287
OLIN,34,0.519047619047619,0.2510747871707441
PITT,56,0.6409090909090909,0.09695785912591613
SBL,30,0.5666666666666667,0.19002923751652304
SDSU,36,0.7238095238095238,0.19336536504527635
STANFORD,39,0.7464285714285714,0.14961685761181007
TRINITY,47,0.6333333333333333,0.13698697784375505
UCLA,98,0.7452631578947368,0.1063008066566048
UM,140,0.6653712826126619,0.07454562051166629
USM,71,0.6190476190476191,0.12140522651411391
YALE,56,0.6412121212121212,0.0914591942108244
