Site,N_Total,ACC_Avg,ACC_Std
CALTECH,37,0.7011904761904761,0.18502236795585264
CMU,27,0.72,0.19804601036683928
KKI,48,0.6511111111111111,0.12262559698952352
LEUVEN,63,0.617948717948718,0.0888924843125581
MAX_MUN,52,0.5135353535353535,0.22666090487644364
NYU,175,0.7371428571428572,0.05495824017620383
OHSU,26,0.5266666666666666,0.3058685265854524
OLIN,34,0.5809523809523809,0.21135562877306804
PITT,56,0.6393939393939394,0.14860848285138464
SBL,30,0.6333333333333334,0.27386127875258304
SDSU,36,0.769047619047619,0.14119820504020572
STANFORD,39,0.6821428571428572,0.22812456318101876
TRINITY,47,0.6644444444444444,0.14281128011608554
UCLA,98,0.7152631578947368,0.12318488233325166
UM,140,0.6786900200693304,0.055495067850693275
USM,71,0.7752380952380953,0.11534233773980584
YALE,56,0.6990909090909091,0.0857741712178995
