Site,N_Total,ACC_Avg,ACC_Std
CALTECH,37,0.6297619047619047,0.17176512928178464
CMU,27,0.6133333333333334,0.28925190866555517
KKI,48,0.8400000000000001,0.20736441353327723
LEUVEN,63,0.6948717948717948,0.11543802182829188
MAX_MUN,52,0.5157575757575757,0.1348467824203057
NYU,175,0.7714285714285715,0.09035079029052512
OHSU,26,0.6233333333333333,0.23734644158557203
OLIN,34,0.7333333333333333,0.18928197061287422
PITT,56,0.7893939393939394,0.13766216749696797
SBL,30,0.6333333333333333,0.24720661623652207
SDSU,36,0.6904761904761905,0.11580402653776029
STANFORD,39,0.7928571428571429,0.14649388787138345
TRINITY,47,0.6622222222222222,0.10703639625593153
UCLA,98,0.7347368421052631,0.124178742588268
UM,140,0.7082466703156358,0.07838169898164991
USM,71,0.7733333333333333,0.08092436489999234
YALE,56,0.7693939393939394,0.1012343470424949
