Site,N_Total,ACC_Avg,ACC_Std
CALTECH,37,0.6761904761904762,0.05529630553568376
CMU,27,0.67,0.12931443160847217
KKI,48,0.6088888888888888,0.1841564015909129
LEUVEN,63,0.6987179487179487,0.14715692670832048
MAX_MUN,52,0.4680808080808081,0.1945009756469083
NYU,175,0.6914285714285715,0.03725258517258657
OHSU,26,0.6066666666666667,0.24540216425741287
OLIN,34,0.6333333333333333,0.2865068372665014
PITT,56,0.6772727272727272,0.08564292582462171
SBL,30,0.6,0.14907119849998599
SDSU,36,0.6702380952380953,0.23334548073336414
STANFORD,39,0.6892857142857143,0.17523672036210136
TRINITY,47,0.6777777777777778,0.14142135623730953
UCLA,98,0.7352631578947368,0.13751857089397132
UM,140,0.6510673234811166,0.08095254748731358
USM,71,0.6333333333333333,0.10727505072446486
YALE,56,0.6763636363636364,0.10491590055451262
