Site,N_Total,ACC_Avg,ACC_Std
CALTECH,37,0.6761904761904762,0.13668460559220152
CMU,27,0.6533333333333333,0.20628997929021073
KKI,48,0.7133333333333333,0.14216144534721736
LEUVEN,63,0.6333333333333334,0.07764088168533212
MAX_MUN,52,0.5157575757575757,0.14938502647209306
NYU,175,0.7542857142857142,0.05924697529522208
OHSU,26,0.55,0.17716909687891086
OLIN,34,0.6714285714285714,0.17202277969703278
PITT,56,0.7121212121212122,0.08159340616870463
SBL,30,0.6333333333333333,0.21730674684008824
SDSU,36,0.6869047619047619,0.16374998918142286
STANFORD,39,0.6571428571428571,0.2256651167060589
TRINITY,47,0.6644444444444444,0.14281128011608554
UCLA,98,0.7457894736842106,0.15294432568422656
UM,140,0.7217934683451925,0.03482538863673114
USM,71,0.7733333333333333,0.06322762391790362
YALE,56,0.7157575757575757,0.0626327790679458
