Site,N_Total,ACC_Avg,ACC_Std
CALTECH,37,0.6261904761904762,0.07957066626405249
CMU,27,0.6133333333333333,0.2364083096866286
KKI,48,0.8155555555555555,0.19318640649466254
LEUVEN,63,0.6653846153846154,0.11858108076467708
MAX_MUN,52,0.4793939393939393,0.17424110671438636
NYU,175,0.76,0.04780914437337576
OHSU,26,0.54,0.19206480387850575
OLIN,34,0.7333333333333333,0.18928197061287422
PITT,56,0.6787878787878788,0.04595682087303973
SBL,30,0.6,0.09128709291752768
SDSU,36,0.6369047619047619,0.1257066195353743
STANFORD,39,0.7428571428571429,0.12601627688840963
TRINITY,47,0.6622222222222222,0.12828402130996983
UCLA,98,0.7452631578947368,0.11631757559952752
UM,140,0.6936964057653713,0.09497399360187093
USM,71,0.8161904761904761,0.041866865981587155
YALE,56,0.7875757575757576,0.0765144014364675
