Site,N_Total,ACC_Mean,ACC_Std,F1_Mean,Sens_Mean,Spec_Mean,TN_Total,FP_Total,FN_Total,TP_Total
CALTECH,37,0.6261904761904762,0.07957066626405243,0.6142857142857142,0.65,0.6,11,7,7,12
CMU,27,0.58,0.23874672772626646,0.43428571428571433,0.4,0.7333333333333333,10,3,8,6
KKI,48,0.8177777777777777,0.21582457439684724,0.7948051948051947,0.8,0.8333333333333334,23,5,4,16
LEUVEN,63,0.7294871794871794,0.0720120342050442,0.6471794871794871,0.58,0.8476190476190476,29,5,12,17
MAX_MUN,52,0.4248484848484848,0.22968817445382383,0.40606837606837604,0.45,0.39333333333333337,11,17,13,11
NYU,175,0.7485714285714286,0.09345958419312077,0.6909622331691297,0.6533333333333333,0.82,82,18,26,49
OHSU,26,0.5900000000000001,0.21068670790747315,0.5466666666666666,0.5,0.6666666666666667,9,5,6,6
OLIN,34,0.6714285714285714,0.17202277969703278,0.6577777777777778,0.6166666666666667,0.7333333333333333,11,4,7,12
PITT,56,0.6803030303030303,0.09284553757486988,0.6424242424242423,0.5533333333333333,0.8266666666666665,22,5,13,16
SBL,30,0.6,0.19002923751652304,0.4714285714285714,0.4666666666666666,0.7333333333333333,11,4,8,7
SDSU,36,0.7154761904761905,0.16753599809472705,0.6276190476190476,0.6333333333333333,0.76,17,5,5,9
STANFORD,39,0.7142857142857142,0.17267035362333677,0.7309523809523809,0.8,0.65,13,7,4,15
TRINITY,47,0.6644444444444444,0.2123356299660667,0.6671861471861471,0.6900000000000001,0.64,16,9,7,15
UCLA,98,0.7247368421052631,0.11418748251640767,0.7593522947640594,0.7927272727272727,0.6388888888888888,28,16,11,43
UM,140,0.7297299762817004,0.07860666427723352,0.7052665974704955,0.6813186813186813,0.7723809523809524,57,17,21,45
USM,71,0.759047619047619,0.06764586993173245,0.8176351752822342,0.8444444444444444,0.6,15,10,7,39
YALE,56,0.7375757575757576,0.11240443344229765,0.7184815184815185,0.7133333333333333,0.7466666666666667,21,7,8,20
