Site,N_Total,ACC_Mean,ACC_Std,F1_Mean,Sens_Mean,Spec_Mean,TN_Total,FP_Total,FN_Total,TP_Total
CALTECH,37,0.6428571428571429,0.09698911152857335,0.6085714285714285,0.5833333333333333,0.7,13,5,8,11
CMU,27,0.58,0.26624967396954474,0.44761904761904764,0.4666666666666666,0.6666666666666666,9,4,7,7
KKI,48,0.7733333333333333,0.16189464643159104,0.7746464646464647,0.9,0.6799999999999999,19,9,2,18
LEUVEN,63,0.7448717948717949,0.10901205984349395,0.6645454545454546,0.5533333333333333,0.9047619047619048,31,3,13,16
MAX_MUN,52,0.46121212121212113,0.14403346208497403,0.4425763125763126,0.53,0.39333333333333337,11,17,11,13
NYU,175,0.7428571428571429,0.12453996981544785,0.733512597416462,0.8,0.7,70,30,15,60
OHSU,26,0.5,0.13743685418725535,0.4133333333333333,0.4666666666666666,0.5333333333333333,7,7,6,6
OLIN,34,0.7,0.23904572186687875,0.6514285714285715,0.5666666666666667,0.8666666666666666,13,2,8,11
PITT,56,0.6984848484848485,0.0909722003168368,0.6478787878787878,0.5599999999999999,0.8666666666666666,23,4,13,16
SBL,30,0.6666666666666667,0.263523138347365,0.5266666666666666,0.4666666666666666,0.8666666666666666,13,2,8,7
SDSU,36,0.6666666666666667,0.18619633713829822,0.6257142857142857,0.7333333333333333,0.62,14,8,4,10
STANFORD,39,0.7464285714285714,0.12071745557968264,0.7492063492063492,0.8,0.7,14,6,4,15
TRINITY,47,0.6622222222222223,0.1773606216820881,0.6533333333333333,0.6900000000000001,0.64,16,9,7,15
UCLA,98,0.7347368421052631,0.09646450985751116,0.7427075098814229,0.7181818181818181,0.7527777777777778,33,11,15,39
UM,140,0.693431855500821,0.0891676266452125,0.6820659340659341,0.6978021978021978,0.6895238095238095,51,23,20,46
USM,71,0.7457142857142858,0.06654751256486922,0.7746249106930222,0.7155555555555555,0.8,20,5,13,33
YALE,56,0.8209090909090909,0.09098734006125977,0.7928404928404928,0.78,0.8533333333333333,24,4,6,22
