Site,N_Total,ACC_Mean,ACC_Std,F1_Mean,Sens_Mean,Spec_Mean,TN_Total,FP_Total,FN_Total,TP_Total
CALTECH,37,0.6428571428571429,0.09698911152857335,0.6085714285714285,0.5833333333333333,0.7,13,5,8,11
CMU,27,0.6133333333333333,0.2364083096866286,0.5276190476190477,0.5333333333333333,0.6666666666666666,9,4,6,8
KKI,48,0.7511111111111111,0.1491953727809923,0.7135353535353535,0.75,0.7533333333333333,21,7,5,15
LEUVEN,63,0.7769230769230769,0.03987777183332254,0.7447552447552448,0.7266666666666667,0.819047619047619,28,6,8,21
MAX_MUN,52,0.463030303030303,0.19377834222038923,0.40555555555555556,0.45,0.4666666666666667,13,15,13,11
NYU,175,0.7371428571428572,0.11320921574947972,0.7249167499167499,0.7866666666666666,0.7,70,30,16,59
OHSU,26,0.5733333333333334,0.23021728866442678,0.47333333333333333,0.4666666666666666,0.6666666666666667,9,5,6,6
OLIN,34,0.7,0.23904572186687875,0.6514285714285715,0.5666666666666667,0.8666666666666666,13,2,8,11
PITT,56,0.75,0.13445635870680947,0.7300077700077701,0.6933333333333334,0.8266666666666665,22,5,9,20
SBL,30,0.5666666666666667,0.19002923751652298,0.48571428571428565,0.5333333333333333,0.6,9,6,7,8
SDSU,36,0.6333333333333333,0.16228290923688013,0.599047619047619,0.7333333333333333,0.5700000000000001,13,9,4,10
STANFORD,39,0.7178571428571429,0.18488827293635407,0.680952380952381,0.6333333333333333,0.8,16,4,7,12
TRINITY,47,0.7044444444444444,0.18915014612148143,0.6844444444444444,0.6900000000000001,0.72,18,7,7,15
UCLA,98,0.7347368421052631,0.09646450985751116,0.7427075098814229,0.7181818181818181,0.7527777777777778,33,11,15,39
UM,140,0.7005747126436781,0.08545670139736984,0.683142857142857,0.6824175824175824,0.7161904761904762,53,21,21,45
USM,71,0.7314285714285714,0.09551151228826733,0.751547987616099,0.6933333333333334,0.8,20,5,14,32
YALE,56,0.7842424242424243,0.07976233061261846,0.7710223110223111,0.8133333333333332,0.7466666666666667,21,7,5,23
