Site,N_Total,ACC_Mean,ACC_Std,F1_Mean,Sens_Mean,Spec_Mean,TN_Total,FP_Total,FN_Total,TP_Total
CALTECH,37,0.6428571428571429,0.13122266479195596,0.6599999999999999,0.75,0.5333333333333333,10,8,5,14
CMU,27,0.58,0.23874672772626646,0.43428571428571433,0.4,0.7333333333333333,10,3,8,6
KKI,48,0.7777777777777778,0.19067780335256126,0.7448051948051948,0.75,0.8,22,6,5,15
LEUVEN,63,0.7128205128205127,0.07563016001924425,0.6266666666666667,0.5466666666666666,0.8476190476190476,29,5,13,16
MAX_MUN,52,0.443030303030303,0.23613430988500345,0.4149572649572649,0.45,0.42666666666666664,12,16,13,11
NYU,175,0.7371428571428572,0.07114228341707846,0.6856683546338719,0.6666666666666666,0.79,79,21,25,50
OHSU,26,0.6233333333333333,0.23734644158557203,0.6066666666666667,0.5666666666666667,0.6666666666666667,9,5,5,7
OLIN,34,0.7,0.2166535841157586,0.6799999999999999,0.6166666666666667,0.8,12,3,7,12
PITT,56,0.7,0.16262312563634837,0.6484848484848484,0.5866666666666667,0.8266666666666665,22,5,12,17
SBL,30,0.6333333333333333,0.24720661623652207,0.5,0.4666666666666666,0.8,12,3,8,7
SDSU,36,0.7154761904761905,0.16753599809472705,0.6276190476190476,0.6333333333333333,0.76,17,5,5,9
STANFORD,39,0.6892857142857143,0.12281249188606715,0.7087301587301587,0.8,0.6,12,8,4,15
TRINITY,47,0.6644444444444444,0.16299662951904217,0.6602020202020202,0.6900000000000001,0.64,16,9,7,15
UCLA,98,0.7247368421052631,0.08965925029485192,0.7618651152768801,0.8109090909090909,0.6166666666666666,27,17,10,44
UM,140,0.7077723043240285,0.0417636312504762,0.6831282051282052,0.6670329670329671,0.7447619047619047,55,19,22,44
USM,71,0.7161904761904763,0.13621877827801704,0.7797266785502079,0.8,0.5599999999999999,14,11,9,37
YALE,56,0.7342424242424243,0.048052045551946664,0.7248351648351649,0.74,0.7133333333333333,20,8,7,21
