Site,N_Total,ACC_Mean,ACC_Std,F1_Mean,Sens_Mean,Spec_Mean,TN_Total,FP_Total,FN_Total,TP_Total
CALTECH,37,0.6297619047619047,0.17176512928178464,0.6515873015873016,0.75,0.5,9,9,5,14
CMU,27,0.6133333333333334,0.28925190866555517,0.4742857142857143,0.4666666666666666,0.7333333333333333,10,3,7,7
KKI,48,0.8400000000000001,0.20736441353327723,0.8202020202020203,0.85,0.8333333333333334,23,5,3,17
LEUVEN,63,0.6948717948717948,0.11543802182829188,0.5716883116883117,0.47333333333333333,0.8761904761904761,30,4,15,14
MAX_MUN,52,0.5157575757575757,0.1348467824203057,0.4316239316239316,0.48,0.5333333333333333,15,13,12,12
NYU,175,0.7714285714285715,0.09035079029052512,0.7068864468864469,0.6533333333333333,0.86,86,14,26,49
OHSU,26,0.6233333333333333,0.23734644158557203,0.6066666666666667,0.5666666666666667,0.6666666666666667,9,5,5,7
OLIN,34,0.7333333333333333,0.18928197061287422,0.7333333333333333,0.6833333333333333,0.8,12,3,6,13
PITT,56,0.7893939393939394,0.13766216749696797,0.7781818181818181,0.7266666666666667,0.8666666666666666,23,4,8,21
SBL,30,0.6333333333333333,0.24720661623652207,0.5,0.4666666666666666,0.8,12,3,8,7
SDSU,36,0.6904761904761905,0.11580402653776029,0.599047619047619,0.6333333333333333,0.72,16,6,5,9
STANFORD,39,0.7928571428571429,0.14649388787138345,0.8047619047619048,0.85,0.75,15,5,3,16
TRINITY,47,0.6622222222222222,0.10703639625593153,0.6533333333333333,0.6900000000000001,0.64,16,9,7,15
UCLA,98,0.7347368421052631,0.124178742588268,0.7614124954329557,0.7745454545454546,0.6833333333333333,30,14,12,42
UM,140,0.7082466703156358,0.07838169898164991,0.6798884078884079,0.6527472527472528,0.7571428571428571,56,18,23,43
USM,71,0.7733333333333333,0.08092436489999234,0.8227244582043344,0.8244444444444443,0.6799999999999999,17,8,8,38
YALE,56,0.7693939393939394,0.1012343470424949,0.7463203463203463,0.7466666666666667,0.78,22,6,7,21
