Site,N_Total,ACC_Mean,ACC_Std,F1_Mean,Sens_Mean,Spec_Mean,TN_Total,FP_Total,FN_Total,TP_Total
CALTECH,37,0.6428571428571429,0.09698911152857335,0.6085714285714285,0.5833333333333333,0.7,13,5,8,11
CMU,27,0.6133333333333334,0.28925190866555517,0.4742857142857143,0.4666666666666666,0.7333333333333333,10,3,7,7
KKI,48,0.7733333333333333,0.16189464643159104,0.7746464646464647,0.9,0.6799999999999999,19,9,2,18
LEUVEN,63,0.7294871794871794,0.0720120342050442,0.6471794871794871,0.58,0.8476190476190476,29,5,12,17
MAX_MUN,52,0.42080808080808085,0.18814144776444486,0.444004884004884,0.53,0.32,9,19,11,13
NYU,175,0.7542857142857142,0.1080438308639374,0.7415920790920791,0.8,0.72,72,28,15,60
OHSU,26,0.5733333333333334,0.23021728866442678,0.47333333333333333,0.4666666666666666,0.6666666666666667,9,5,6,6
OLIN,34,0.6714285714285714,0.24536520053310953,0.5980952380952381,0.5166666666666667,0.8666666666666666,13,2,9,10
PITT,56,0.6621212121212121,0.11077198016020752,0.5913131313131312,0.48,0.8666666666666666,23,4,15,14
SBL,30,0.6333333333333333,0.24720661623652207,0.5,0.4666666666666666,0.8,12,3,8,7
SDSU,36,0.6952380952380952,0.14745814964148848,0.659047619047619,0.8,0.62,14,8,3,11
STANFORD,39,0.7928571428571429,0.14649388787138345,0.769047619047619,0.7333333333333333,0.85,17,3,5,14
TRINITY,47,0.6422222222222222,0.12871635962288513,0.6424242424242423,0.6900000000000001,0.6,15,10,7,15
UCLA,98,0.7242105263157894,0.09175497299466706,0.7309476755128929,0.7,0.75,33,11,16,38
UM,140,0.6865535486225142,0.07128088569653222,0.6688170444692184,0.6670329670329671,0.7028571428571428,52,22,22,44
USM,71,0.7180952380952381,0.07193471466964449,0.7366716943187532,0.6288888888888888,0.8800000000000001,22,3,17,29
YALE,56,0.7875757575757576,0.07651440143646751,0.7704628704628705,0.78,0.78,22,6,6,22
