Site,N_Total,ACC_Mean,ACC_Std,F1_Mean,Sens_Mean,Spec_Mean,TN_Total,FP_Total,FN_Total,TP_Total
CALTECH,37,0.5928571428571429,0.1553674052439729,0.5514285714285714,0.5333333333333333,0.65,12,6,9,10
CMU,27,0.58,0.26624967396954474,0.44761904761904764,0.4666666666666666,0.6666666666666666,9,4,7,7
KKI,48,0.7511111111111111,0.1491953727809923,0.7135353535353535,0.75,0.7533333333333333,21,7,5,15
LEUVEN,63,0.7448717948717949,0.07027933371110637,0.7205128205128205,0.7266666666666667,0.7619047619047619,26,8,8,21
MAX_MUN,52,0.4248484848484848,0.15437304702965302,0.36546231546231545,0.41000000000000003,0.42666666666666664,12,16,14,10
NYU,175,0.7314285714285715,0.10419761445034557,0.7138333190724737,0.76,0.71,71,29,18,57
OHSU,26,0.54,0.19206480387850575,0.4133333333333333,0.4,0.6666666666666667,9,5,7,5
OLIN,34,0.7,0.2166535841157586,0.6457142857142857,0.5666666666666667,0.8666666666666666,13,2,8,11
PITT,56,0.7151515151515151,0.11459194182538812,0.6806060606060605,0.6266666666666667,0.8266666666666665,22,5,11,18
SBL,30,0.5333333333333333,0.21730674684008833,0.47142857142857136,0.5333333333333333,0.5333333333333333,8,7,7,8
SDSU,36,0.6702380952380953,0.11676380795465935,0.6209523809523809,0.7333333333333333,0.62,14,8,4,10
STANFORD,39,0.7678571428571429,0.13946874421261884,0.7309523809523809,0.6833333333333333,0.85,17,3,6,13
TRINITY,47,0.6866666666666666,0.1816250377040226,0.6577777777777778,0.65,0.72,18,7,8,14
UCLA,98,0.7447368421052631,0.10093057321455319,0.7498221343873518,0.7181818181818181,0.775,34,10,15,39
UM,140,0.6936964057653713,0.0674964721033811,0.6721879060469764,0.6670329670329671,0.7171428571428571,53,21,22,44
USM,71,0.7447619047619047,0.12185266744047207,0.7720634920634921,0.7155555555555555,0.8,20,5,13,33
YALE,56,0.7675757575757576,0.09580023982440349,0.7538794538794539,0.78,0.7466666666666667,21,7,6,22
