Site,N_Total,ACC_Mean,ACC_Std,F1_Mean,Sens_Mean,Spec_Mean,TN_Total,FP_Total,FN_Total,TP_Total
CALTECH,37,0.7047619047619047,0.13293946928708214,0.7044444444444444,0.8,0.6,11,7,4,15
CMU,27,0.58,0.23874672772626646,0.43428571428571433,0.4,0.7333333333333333,10,3,8,6
KKI,48,0.7377777777777778,0.22833265747399295,0.7,0.7,0.7666666666666667,21,7,6,14
LEUVEN,63,0.7294871794871794,0.07201203420504418,0.6409523809523809,0.5466666666666666,0.8761904761904761,30,4,13,16
MAX_MUN,52,0.42080808080808085,0.25361944760134636,0.36495726495726494,0.4,0.42666666666666664,12,16,14,10
NYU,175,0.7314285714285715,0.07719574906346462,0.667816091954023,0.6266666666666667,0.8099999999999999,81,19,28,47
OHSU,26,0.5900000000000001,0.21068670790747315,0.5466666666666666,0.5,0.6666666666666667,9,5,6,6
OLIN,34,0.7,0.2166535841157586,0.6799999999999999,0.6166666666666667,0.8,12,3,7,12
PITT,56,0.753030303030303,0.15147726799124014,0.726060606060606,0.6533333333333333,0.8666666666666666,23,4,10,19
SBL,30,0.6,0.25276251480171835,0.48,0.4666666666666666,0.7333333333333333,11,4,8,7
SDSU,36,0.6869047619047619,0.20600742451891416,0.58,0.5666666666666667,0.76,17,5,6,8
STANFORD,39,0.6607142857142857,0.16608102890837745,0.6953968253968255,0.8,0.55,11,9,4,15
TRINITY,47,0.6844444444444444,0.14263828031894407,0.671111111111111,0.6900000000000001,0.6799999999999999,17,8,7,15
UCLA,98,0.7552631578947369,0.09564622023887495,0.789064713064713,0.8309090909090908,0.6611111111111111,29,15,9,45
UM,140,0.7077540594781974,0.04041026650310021,0.6862010582010581,0.6824175824175824,0.7295238095238095,54,20,21,45
USM,71,0.7304761904761905,0.1396708148037252,0.7925921756262314,0.8222222222222222,0.5599999999999999,14,11,8,38
YALE,56,0.7675757575757576,0.0472571847021041,0.7547985347985348,0.7733333333333333,0.7466666666666667,21,7,6,22
