Site,N_Total,ACC_Mean,ACC_Std,F1_Mean,Sens_Mean,Spec_Mean,TN_Total,FP_Total,FN_Total,TP_Total
CALTECH,37,0.6261904761904762,0.07957066626405249,0.6133333333333333,0.65,0.6,11,7,7,12
CMU,27,0.6133333333333333,0.2364083096866286,0.49428571428571433,0.4666666666666666,0.7333333333333333,10,3,7,7
KKI,48,0.8155555555555555,0.19318640649466254,0.8182972582972583,0.9,0.7533333333333333,21,7,2,18
LEUVEN,63,0.6666666666666666,0.11322770341445958,0.43555555555555553,0.33999999999999997,0.9380952380952381,32,2,19,10
MAX_MUN,52,0.46121212121212113,0.17032351866404416,0.45293706293706293,0.53,0.39333333333333337,11,17,11,13
NYU,175,0.7542857142857142,0.04333071682315174,0.6611282051282051,0.5599999999999999,0.9,90,10,33,42
OHSU,26,0.58,0.1757523510195209,0.4333333333333333,0.4,0.7333333333333333,10,4,7,5
OLIN,34,0.7619047619047619,0.1683587574253685,0.7523809523809524,0.6833333333333333,0.8666666666666666,13,2,6,13
PITT,56,0.6803030303030303,0.09284553757486988,0.5943434343434344,0.49333333333333335,0.9,24,3,15,14
SBL,30,0.5666666666666667,0.14907119849998596,0.3,0.2,0.9333333333333332,14,1,12,3
SDSU,36,0.6654761904761906,0.07073071798815694,0.5266666666666666,0.5,0.77,17,5,7,7
STANFORD,39,0.7178571428571429,0.10366375195499995,0.7277777777777777,0.8,0.65,13,7,4,15
TRINITY,47,0.6822222222222223,0.1426382803189441,0.6522222222222223,0.65,0.72,18,7,8,14
UCLA,98,0.7552631578947369,0.09564622023887502,0.7788572221066501,0.7945454545454546,0.7055555555555555,31,13,11,43
UM,140,0.7010855683269476,0.10880107910494297,0.6743590742091492,0.6527472527472528,0.7447619047619047,55,19,23,43
USM,71,0.7876190476190477,0.08950607727121504,0.8343034055727554,0.8466666666666667,0.6799999999999999,17,8,7,39
YALE,56,0.7675757575757576,0.047257184702104084,0.7318614718614719,0.6733333333333333,0.8533333333333333,24,4,9,19
