Site,N_Total,ACC_Mean,ACC_Std,F1_Mean,Sens_Mean,Spec_Mean,TN_Total,FP_Total,FN_Total,TP_Total
CALTECH,37,0.6380952380952382,0.19604038121203407,0.5823809523809523,0.5166666666666666,0.7666666666666666,14,4,9,10
CMU,27,0.6466666666666667,0.25668831077571275,0.4742857142857143,0.4666666666666666,0.8,11,2,7,7
KKI,48,0.7511111111111111,0.1491953727809923,0.7302020202020202,0.8,0.7133333333333333,20,8,4,16
LEUVEN,63,0.7115384615384615,0.10033638360575982,0.5812121212121213,0.47333333333333333,0.9047619047619048,31,3,15,14
MAX_MUN,52,0.443030303030303,0.1506703722209427,0.3927350427350428,0.45,0.42666666666666664,12,16,13,11
NYU,175,0.7428571428571429,0.07284313590846839,0.6994851796113328,0.6933333333333334,0.78,78,22,23,52
OHSU,26,0.5333333333333333,0.19578900207451216,0.44000000000000006,0.4666666666666666,0.6,8,6,6,6
OLIN,34,0.6714285714285715,0.22360679774997896,0.6133333333333333,0.5166666666666667,0.8666666666666666,13,2,9,10
PITT,56,0.6787878787878788,0.0790206352145776,0.6,0.48666666666666664,0.9,24,3,15,14
SBL,30,0.6666666666666667,0.263523138347365,0.5266666666666666,0.4666666666666666,0.8666666666666666,13,2,8,7
SDSU,36,0.6416666666666667,0.21255918210157757,0.5638095238095238,0.6,0.67,15,7,6,8
STANFORD,39,0.7428571428571429,0.15392401385364252,0.7333333333333333,0.7333333333333333,0.75,15,5,5,14
TRINITY,47,0.6599999999999999,0.1936651048576025,0.6444444444444445,0.64,0.6799999999999999,17,8,8,14
UCLA,98,0.7247368421052631,0.09707637567751198,0.7316403162055336,0.7,0.7527777777777778,33,11,16,38
UM,140,0.6786170406860063,0.09014597781131287,0.642360248447205,0.6208791208791209,0.7295238095238095,54,20,25,41
USM,71,0.7314285714285714,0.09551151228826733,0.751547987616099,0.6933333333333334,0.8,20,5,14,32
YALE,56,0.7842424242424243,0.07976233061261846,0.7498101898101899,0.7066666666666667,0.8533333333333333,24,4,8,20
