Site,N_Total,ACC_Mean,ACC_Std,F1_Mean,Sens_Mean,Spec_Mean,TN_Total,FP_Total,FN_Total,TP_Total
CALTECH,37,0.7047619047619047,0.09929955938638933,0.6157142857142857,0.5166666666666666,0.9,16,2,9,10
CMU,27,0.6133333333333333,0.2364083096866286,0.5276190476190477,0.5333333333333333,0.6666666666666666,9,4,6,8
KKI,48,0.7511111111111111,0.1491953727809923,0.7135353535353535,0.75,0.7533333333333333,21,7,5,15
LEUVEN,63,0.7448717948717949,0.07027933371110637,0.7071794871794872,0.6866666666666668,0.7904761904761906,27,7,9,20
MAX_MUN,52,0.42666666666666664,0.211973974873981,0.37383838383838386,0.41000000000000003,0.4333333333333333,12,16,14,10
NYU,175,0.7371428571428572,0.07114228341707851,0.6919453360877166,0.6799999999999999,0.78,78,22,24,51
OHSU,26,0.54,0.19206480387850575,0.4133333333333333,0.4,0.6666666666666667,9,5,7,5
OLIN,34,0.6714285714285715,0.22360679774997896,0.6133333333333333,0.5166666666666667,0.8666666666666666,13,2,9,10
PITT,56,0.7151515151515151,0.13139080841623513,0.6828282828282828,0.6266666666666667,0.8266666666666665,22,5,11,18
SBL,30,0.5666666666666667,0.19002923751652298,0.4514285714285714,0.4666666666666666,0.6666666666666666,10,5,8,7
SDSU,36,0.6130952380952381,0.2099427629589095,0.5447619047619048,0.6,0.62,14,8,6,8
STANFORD,39,0.7178571428571429,0.18488827293635407,0.680952380952381,0.6333333333333333,0.8,16,4,7,12
TRINITY,47,0.6822222222222222,0.18485897193853706,0.6577777777777778,0.64,0.72,18,7,8,14
UCLA,98,0.7242105263157894,0.09175497299466706,0.7259351441845721,0.6818181818181819,0.775,34,10,17,37
UM,140,0.693431855500821,0.0891676266452125,0.6655486542443064,0.6516483516483517,0.7304761904761905,54,20,23,43
USM,71,0.7314285714285714,0.09551151228826733,0.751547987616099,0.6933333333333334,0.8,20,5,14,32
YALE,56,0.7842424242424243,0.07976233061261846,0.7710223110223111,0.8133333333333332,0.7466666666666667,21,7,5,23
