Site,N_Total,ACC_Mean,ACC_Std,F1_Mean,Sens_Mean,Spec_Mean,TN_Total,FP_Total,FN_Total,TP_Total
CALTECH,37,0.6511904761904762,0.09686116955622852,0.6599999999999999,0.75,0.55,10,8,5,14
CMU,27,0.5466666666666666,0.20357908646136627,0.34,0.26666666666666666,0.8333333333333333,11,2,10,4
KKI,48,0.7555555555555555,0.2294652936451487,0.7457142857142858,0.8,0.72,20,8,4,16
LEUVEN,63,0.6820512820512821,0.05617667256463245,0.49714285714285716,0.37333333333333335,0.9380952380952381,32,2,18,11
MAX_MUN,52,0.44707070707070706,0.14565712604439754,0.3726051726051726,0.41000000000000003,0.4666666666666666,13,15,14,10
NYU,175,0.7257142857142858,0.025555062599997617,0.6246679053635575,0.5333333333333333,0.8699999999999999,87,13,35,40
OHSU,26,0.5066666666666666,0.17857460314638499,0.31333333333333335,0.3333333333333333,0.6666666666666667,9,5,8,4
OLIN,34,0.7619047619047619,0.16835875742536846,0.769047619047619,0.7333333333333333,0.8,12,3,5,14
PITT,56,0.6818181818181819,0.12026142323020865,0.6187878787878788,0.5266666666666666,0.8666666666666666,23,4,14,15
SBL,30,0.6,0.19002923751652304,0.36,0.26666666666666666,0.9333333333333332,14,1,11,4
SDSU,36,0.6369047619047619,0.1257066195353743,0.5133333333333333,0.5,0.72,16,6,7,7
STANFORD,39,0.7142857142857142,0.14833256898067992,0.7492063492063492,0.85,0.6,12,8,3,16
TRINITY,47,0.7244444444444444,0.18681872113870507,0.6977777777777778,0.6900000000000001,0.76,19,6,7,15
UCLA,98,0.7552631578947369,0.09564622023887495,0.7757889453541628,0.7763636363636364,0.7277777777777777,32,12,12,42
UM,140,0.6865535486225142,0.06168836569078858,0.651039923039923,0.621978021978022,0.7447619047619047,55,19,25,41
USM,71,0.7876190476190477,0.0895060772712151,0.8350887021475257,0.8466666666666667,0.68,17,8,7,39
YALE,56,0.7475757575757576,0.051108016834511,0.7051948051948053,0.6333333333333333,0.8533333333333333,24,4,10,18
