Site,Total_Samples,ACC_Mean,ACC_Std,AUC_Mean,AUC_Std,F1_Mean,Sens_Mean,Spec_Mean,TN_Total,FP_Total,FN_Total,TP_Total
CALTECH,37,0.5464285714285715,0.20226712485205886,0.5756944444444445,0.24709344336320707,0.5307936507936508,0.5166666666666666,0.5833333333333333,10,8,9,10
CMU,27,0.5900000000000001,0.32309269395776946,0.5111111111111111,0.2797706291558705,0.4833333333333333,0.5,0.7,9,4,7,7
KKI,48,0.41555555555555557,0.11748391011454491,0.4066666666666666,0.170489491367259,0.4574891774891775,0.65,0.25999999999999995,7,21,7,13
LEUVEN,63,0.5064102564102564,0.18831321566113304,0.4773015873015874,0.1684407468826366,0.4296969696969697,0.4066666666666666,0.5952380952380952,20,14,17,12
MAX_MUN,52,0.5397979797979798,0.19841942530902892,0.5840000000000001,0.2314245737456015,0.5177777777777777,0.58,0.5,14,14,10,14
NYU,175,0.6285714285714286,0.07284313590846843,0.6709999999999999,0.061278961406922634,0.6033409727527375,0.6666666666666666,0.6,60,40,25,50
OHSU,26,0.5466666666666666,0.3905836089181874,0.5777777777777777,0.3524167006034157,0.54,0.5333333333333333,0.5666666666666667,8,6,6,6
OLIN,34,0.519047619047619,0.2888714454876781,0.538888888888889,0.28306087117459994,0.4992063492063492,0.5,0.5333333333333333,8,7,9,10
PITT,56,0.6242424242424243,0.07902063521457758,0.6722222222222223,0.09256295822070455,0.5765656565656565,0.5133333333333333,0.74,20,7,14,15
SBL,30,0.5,0.11785113019775792,0.6666666666666667,0.15713484026367724,0.49333333333333335,0.5333333333333333,0.4666666666666666,7,8,7,8
SDSU,36,0.6726190476190477,0.18054465342979883,0.7266666666666667,0.17594190960528863,0.6004761904761905,0.6333333333333333,0.6900000000000001,15,7,5,9
STANFORD,39,0.4607142857142857,0.1373956004405096,0.55,0.1695582495781317,0.550952380952381,0.75,0.2,4,16,5,14
TRINITY,47,0.5533333333333333,0.08620962107231475,0.5720000000000001,0.164851448279959,0.5181818181818182,0.55,0.5599999999999999,14,11,10,12
UCLA,98,0.6726315789473685,0.09052402077874215,0.7131818181818183,0.05899292575602772,0.7231093117408907,0.809090909090909,0.5,22,22,10,44
UM,140,0.636535303776683,0.0871148139432812,0.6723809523809525,0.060145850897304225,0.660025974025974,0.7725274725274726,0.5123809523809524,38,36,15,51
USM,71,0.6780952380952381,0.12943274109405312,0.6582222222222222,0.17962594879772098,0.7483333333333333,0.7622222222222221,0.52,13,12,11,35
YALE,56,0.6493939393939394,0.14437573416983857,0.6220000000000001,0.11461239025515525,0.6393939393939394,0.6533333333333333,0.64,18,10,10,18
