Site,Total_Samples,ACC_Mean,ACC_Std,AUC_Mean,AUC_Std,F1_Mean,Sens_Mean,Spec_Mean,TN_Total,FP_Total,FN_Total,TP_Total
CALTECH,37,0.4392857142857142,0.1990891247452676,0.46805555555555556,0.21697805259666697,0.4101587301587301,0.36666666666666664,0.5166666666666666,9,9,12,7
CMU,27,0.5133333333333333,0.19235384061671348,0.47777777777777775,0.3250830852961732,0.35428571428571426,0.3333333333333333,0.7,9,4,9,5
KKI,48,0.5244444444444445,0.22762867748773397,0.49666666666666676,0.20847328632491774,0.5474203574203574,0.7,0.4066666666666666,11,17,6,14
LEUVEN,63,0.5397435897435898,0.12919489734124107,0.6190476190476192,0.1286595817724409,0.44405372405372406,0.44000000000000006,0.6142857142857142,21,13,16,13
MAX_MUN,52,0.5842424242424242,0.1620348113013432,0.5953333333333334,0.211235518898798,0.5233766233766234,0.54,0.6133333333333333,17,11,11,13
NYU,175,0.64,0.0871311467541538,0.6606666666666665,0.06347002792219684,0.5484808223128579,0.5333333333333333,0.72,72,28,35,40
OHSU,26,0.58,0.2662496739695448,0.6,0.2662033011269098,0.5466666666666666,0.5333333333333333,0.6333333333333333,9,5,6,6
OLIN,34,0.6428571428571429,0.17496355305594127,0.6500000000000001,0.23213980461973532,0.642063492063492,0.6333333333333333,0.6666666666666666,10,5,7,12
PITT,56,0.5893939393939394,0.045580633201488883,0.6777777777777778,0.0991320356586465,0.5543900543900544,0.5133333333333333,0.6666666666666666,18,9,14,15
SBL,30,0.6666666666666667,0.1666666666666667,0.7555555555555555,0.22662308949301269,0.6414285714285715,0.6666666666666666,0.6666666666666666,10,5,5,10
SDSU,36,0.6654761904761906,0.14362393417226876,0.6233333333333333,0.21228911104120873,0.5900000000000001,0.6333333333333333,0.6799999999999999,15,7,5,9
STANFORD,39,0.5321428571428571,0.14800975560787216,0.5708333333333333,0.22538547227164202,0.6025974025974026,0.7666666666666667,0.3,6,14,4,15
TRINITY,47,0.5488888888888889,0.15547617021966045,0.5559999999999999,0.15602563891873666,0.4787878787878788,0.53,0.5599999999999999,14,11,10,12
UCLA,98,0.5610526315789474,0.07805193952207655,0.5891414141414141,0.11833603854519356,0.6157391304347826,0.6454545454545455,0.4583333333333333,20,24,19,35
UM,140,0.586498814085021,0.09719434112283855,0.6590842490842491,0.08328349352892234,0.6041554107738757,0.6846153846153846,0.4990476190476191,37,37,21,45
USM,71,0.6904761904761905,0.03367175148507369,0.7191111111111111,0.05314039174270263,0.760860484544695,0.7622222222222221,0.5599999999999999,14,11,11,35
YALE,56,0.6624242424242424,0.15150909078787395,0.6513333333333333,0.125362486759077,0.6673015873015873,0.6933333333333334,0.6266666666666667,18,10,9,19
