Site,Total_Samples,ACC_Mean,ACC_Std,AUC_Mean,AUC_Std,F1_Mean,Sens_Mean,Spec_Mean,TN_Total,FP_Total,FN_Total,TP_Total
CALTECH,37,0.49642857142857144,0.3257154605241971,0.5166666666666667,0.2932694059127962,0.47619047619047616,0.45,0.55,10,8,10,9
CMU,27,0.5033333333333333,0.2444949442785633,0.55,0.17950549357115014,0.4738095238095238,0.5,0.5,6,7,7,7
KKI,48,0.45999999999999996,0.06740333728045822,0.53,0.16369008657962295,0.4762515262515262,0.65,0.3333333333333333,9,19,7,13
LEUVEN,63,0.5551282051282052,0.1602307671791589,0.49333333333333335,0.12722754447273732,0.4627738927738928,0.43999999999999995,0.6428571428571429,22,12,16,13
MAX_MUN,52,0.5802020202020202,0.18250934847113792,0.5720000000000001,0.19961741184353415,0.587012987012987,0.6599999999999999,0.5066666666666666,14,14,8,16
NYU,175,0.5657142857142856,0.023904572186687886,0.6473333333333333,0.030634040615701442,0.5476190476190477,0.6266666666666667,0.52,52,48,28,47
OHSU,26,0.48666666666666664,0.196638416050035,0.538888888888889,0.2958561545709855,0.43,0.4666666666666666,0.5,7,7,6,6
OLIN,34,0.6666666666666666,0.2629847861235062,0.6444444444444445,0.25300661192746005,0.7,0.7666666666666666,0.5333333333333333,8,7,4,15
PITT,56,0.6424242424242423,0.1580412704291551,0.7022222222222222,0.10247553155705627,0.6088888888888888,0.5666666666666667,0.7333333333333334,20,7,13,16
SBL,30,0.6,0.09128709291752765,0.6444444444444445,0.16329931618554522,0.58,0.6,0.6,9,6,6,9
SDSU,36,0.694047619047619,0.11211985407591525,0.7466666666666666,0.05312459150169741,0.6742857142857143,0.8,0.63,14,8,3,11
STANFORD,39,0.5357142857142857,0.12371791482634839,0.55,0.16488632447841148,0.5866666666666667,0.7,0.4,8,12,6,13
TRINITY,47,0.5088888888888888,0.16450449354063773,0.5940000000000001,0.23225847670214322,0.5509956709956709,0.63,0.4,10,15,8,14
UCLA,98,0.6831578947368421,0.06803026049847458,0.7082323232323231,0.051631775297636975,0.7348206704728444,0.8145454545454545,0.525,23,21,10,44
UM,140,0.6291278963692757,0.11421535337935108,0.6885714285714286,0.08327076506337681,0.6700933741436261,0.8164835164835165,0.45809523809523806,34,40,12,54
USM,71,0.6485714285714286,0.13982496346562462,0.6644444444444444,0.12220201853215575,0.736111111111111,0.7622222222222221,0.44000000000000006,11,14,11,35
YALE,56,0.616060606060606,0.15798896870744333,0.6277777777777779,0.20899524479202636,0.5916239316239317,0.62,0.6133333333333333,17,11,11,17
