Fold,Site,N_Samples,ACC,AUC,F1,Sens,Spec,TN,FP,FN,TP
1,CALTECH,8,0.875,0.875,0.8888888888888888,1.0,0.75,3,1,0,4
1,CMU,4,0.75,0.75,0.6666666666666666,0.5,1.0,2,0,1,1
1,KKI,9,0.4444444444444444,0.45,0.4444444444444444,0.5,0.4,2,3,2,2
1,LEUVEN,13,0.3076923076923077,0.3333333333333333,0.0,0.0,0.5714285714285714,4,3,6,0
1,MAX_MUN,11,0.45454545454545453,0.5333333333333334,0.4,0.4,0.5,3,3,3,2
1,NYU,35,0.5714285714285714,0.66,0.4827586206896552,0.4666666666666667,0.65,13,7,8,7
1,OHSU,4,0.5,0.25,0.5,0.5,0.5,1,1,1,1
1,OLIN,7,0.5714285714285714,0.8333333333333334,0.5714285714285714,0.5,0.6666666666666666,2,1,2,2
1,PITT,11,0.6363636363636364,0.7666666666666666,0.6666666666666666,0.6666666666666666,0.6,3,2,2,4
1,SBL,6,0.6666666666666666,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,2
1,SDSU,7,0.7142857142857143,0.8333333333333333,0.5,0.3333333333333333,1.0,4,0,2,1
1,STANFORD,8,0.5,0.75,0.5,0.5,0.5,2,2,2,2
1,TRINITY,10,0.5,0.4800000000000001,0.6153846153846154,0.8,0.2,1,4,1,4
1,UCLA,20,0.7,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.6666666666666666,6,3,3,8
1,UM,28,0.5714285714285714,0.6564102564102565,0.5714285714285714,0.6153846153846154,0.5333333333333333,8,7,5,8
1,USM,15,0.6,0.6200000000000001,0.7,0.7,0.4,2,3,3,7
1,YALE,11,0.8181818181818182,0.8666666666666667,0.8,0.8,0.8333333333333334,5,1,1,4
2,CALTECH,7,0.5714285714285714,0.6666666666666667,0.6666666666666666,0.75,0.3333333333333333,1,2,1,3
2,CMU,6,0.6666666666666666,0.6666666666666667,0.5,0.3333333333333333,1.0,3,0,2,1
2,KKI,9,0.5555555555555556,0.39999999999999997,0.3333333333333333,0.25,0.8,4,1,3,1
2,LEUVEN,12,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,2,2,4
