Site,Total_Samples,ACC_Mean,ACC_Std,AUC_Mean,AUC_Std,F1_Mean,Sens_Mean,Spec_Mean,TN_Total,FP_Total,FN_Total,TP_Total
CALTECH,37,0.5464285714285715,0.22073624486232063,0.6958333333333334,0.22422706745122853,0.5253968253968254,0.6,0.4833333333333333,9,9,8,11
CMU,27,0.42333333333333334,0.30541410867505414,0.45,0.348010216963685,0.29333333333333333,0.26666666666666666,0.6,8,5,10,4
KKI,48,0.45999999999999996,0.16397831834998458,0.3716666666666667,0.14715826703096074,0.37857142857142856,0.45,0.47333333333333333,13,15,11,9
LEUVEN,63,0.5217948717948718,0.2597380210504889,0.5214285714285715,0.2689949379523543,0.47687645687645686,0.47333333333333333,0.5666666666666667,19,15,15,14
MAX_MUN,52,0.6046464646464647,0.1594226139536429,0.5766666666666667,0.16852299546352717,0.5266666666666666,0.52,0.6799999999999999,19,9,12,12
NYU,175,0.5771428571428572,0.04694764778615712,0.619,0.10261903657054408,0.5330722205722205,0.5866666666666667,0.5700000000000001,57,43,31,44
OHSU,26,0.46333333333333326,0.30468563033614393,0.5888888888888888,0.21256807188565544,0.5266666666666666,0.6,0.3333333333333333,5,9,5,7
OLIN,34,0.4333333333333333,0.16530052340675983,0.4055555555555556,0.1984507899943528,0.42857142857142855,0.4,0.4666666666666666,7,8,11,8
PITT,56,0.5166666666666666,0.05877928709476007,0.4822222222222222,0.11771486789465806,0.5155011655011654,0.54,0.47333333333333333,13,14,13,16
SBL,30,0.4666666666666666,0.07453559924999299,0.5777777777777778,0.1777777777777778,0.30857142857142855,0.3333333333333333,0.6,9,6,10,5
SDSU,36,0.5892857142857142,0.23007319154866293,0.55,0.26791375063213496,0.5314285714285714,0.6333333333333333,0.55,12,10,5,9
STANFORD,39,0.45357142857142857,0.18193265181357185,0.4916666666666667,0.23444674827725331,0.5033333333333333,0.6166666666666667,0.3,6,14,7,12
TRINITY,47,0.5333333333333333,0.10999438818457404,0.525,0.1016857905510893,0.4722222222222222,0.47000000000000003,0.6,15,10,12,10
UCLA,98,0.6242105263157894,0.12857626513349446,0.596060606060606,0.11675754036602191,0.6750675990675991,0.74,0.4805555555555555,21,23,14,40
UM,140,0.585477102718482,0.09057203919994387,0.5962637362637363,0.08226763730765536,0.5921024033437826,0.6681318681318681,0.5142857142857142,38,36,22,44
USM,71,0.5485714285714286,0.15003400974989856,0.4875555555555556,0.0678938896139673,0.609812834224599,0.5888888888888888,0.4800000000000001,12,13,19,27
YALE,56,0.533030303030303,0.12767972442555142,0.6575555555555556,0.10704193247808069,0.618073593073593,0.7466666666666667,0.31333333333333335,9,19,7,21
