Fold,Site,N_Samples,ACC,AUC,F1,Sens,Spec,TN,FP,FN,TP
1,CALTECH,8,0.5,0.625,0.3333333333333333,0.25,0.75,3,1,3,1
1,CMU,4,0.25,0.25,0.0,0.0,0.5,1,1,2,0
1,KKI,9,0.5555555555555556,0.55,0.5,0.5,0.6,3,2,2,2
1,LEUVEN,13,0.6153846153846154,0.6904761904761905,0.6153846153846154,0.6666666666666666,0.5714285714285714,4,3,2,4
1,MAX_MUN,11,0.45454545454545453,0.43333333333333335,0.25,0.2,0.6666666666666666,4,2,4,1
1,NYU,35,0.45714285714285713,0.53,0.3448275862068966,0.3333333333333333,0.55,11,9,10,5
1,OHSU,4,0.5,0.25,0.6666666666666666,1.0,0.0,0,2,0,2
1,OLIN,7,0.5714285714285714,0.33333333333333337,0.6666666666666666,0.75,0.3333333333333333,1,2,1,3
1,PITT,11,0.45454545454545453,0.4333333333333333,0.5,0.5,0.4,2,3,3,3
1,SBL,6,0.5,1.0,0.0,0.0,1.0,3,0,3,0
1,SDSU,7,0.42857142857142855,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.5,2,2,2,1
1,STANFORD,8,0.625,0.75,0.5714285714285714,0.5,0.75,3,1,2,2
1,TRINITY,10,0.6,0.6000000000000001,0.5,0.4,0.8,4,1,3,2
1,UCLA,20,0.45,0.6262626262626263,0.5217391304347826,0.5454545454545454,0.3333333333333333,3,6,5,6
1,UM,28,0.5357142857142857,0.5076923076923077,0.48,0.46153846153846156,0.6,9,6,7,6
1,USM,15,0.5333333333333333,0.48,0.6666666666666666,0.7,0.2,1,4,3,7
1,YALE,11,0.8181818181818182,0.8333333333333334,0.8,0.8,0.8333333333333334,5,1,1,4
2,CALTECH,7,0.7142857142857143,0.8333333333333334,0.75,0.75,0.6666666666666666,2,1,1,3
2,CMU,6,0.3333333333333333,0.6666666666666667,0.0,0.0,0.6666666666666666,2,1,3,0
2,KKI,9,0.4444444444444444,0.25,0.2857142857142857,0.25,0.6,3,2,3,1
2,LEUVEN,12,0.6666666666666666,0.8055555555555556,0.6,0.5,0.8333333333333334,5,1,3,3
2,MAX_MUN,11,0.5454545454545454,0.5,0.4444444444444444,0.4,0.6666666666666666,4,2,3,2
2,NYU,35,0.5714285714285714,0.6033333333333334,0.4,0.3333333333333333,0.75,15,5,10,5
2,OHSU,5,1.0,1.0,1.0,1.0,1.0,3,0,0,2
2,OLIN,7,0.5714285714285714,0.5,0.4,0.25,1.0,3,0,3,1
2,PITT,11,0.6363636363636364,0.5333333333333333,0.7142857142857143,0.8333333333333334,0.4,2,3,1,5
2,SBL,6,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,2
2,SDSU,7,0.8571428571428571,0.8333333333333334,0.8571428571428571,1.0,0.75,3,1,0,3
2,STANFORD,8,0.625,0.3125,0.7272727272727273,1.0,0.25,1,3,0,4
2,TRINITY,10,0.3,0.36,0.0,0.0,0.6,3,2,5,0
2,UCLA,19,0.47368421052631576,0.4,0.5,0.5,0.4444444444444444,4,5,5,5
2,UM,28,0.7142857142857143,0.7692307692307692,0.7142857142857143,0.7692307692307693,0.6666666666666666,10,5,3,10
2,USM,14,0.5714285714285714,0.5333333333333333,0.625,0.5555555555555556,0.6,3,2,4,5
2,YALE,12,0.5833333333333334,0.7222222222222222,0.6153846153846154,0.6666666666666666,0.5,3,3,2,4
3,CALTECH,6,0.6666666666666666,0.7777777777777778,0.5,0.3333333333333333,1.0,3,0,2,1
3,CMU,6,0.3333333333333333,0.4444444444444444,0.5,0.6666666666666666,0.0,0,3,1,2
3,KKI,10,0.7,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666,4,2,1,3
3,LEUVEN,13,0.7692307692307693,0.7142857142857143,0.7272727272727273,0.6666666666666666,0.8571428571428571,6,1,2,4
3,MAX_MUN,10,0.7,0.88,0.6666666666666666,0.6,0.8,4,1,2,3
3,NYU,35,0.6285714285714286,0.5566666666666666,0.5185185185185185,0.4666666666666667,0.75,15,5,8,7
3,OHSU,6,0.6666666666666666,0.888888888888889,0.5,0.3333333333333333,1.0,3,0,2,1
3,OLIN,7,0.7142857142857143,0.7500000000000001,0.75,0.75,0.6666666666666666,2,1,1,3
3,PITT,12,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,5,1,1,5
3,SBL,6,0.6666666666666666,0.7777777777777779,0.75,1.0,0.3333333333333333,1,2,0,3
3,SDSU,6,0.6666666666666666,0.75,0.5,0.5,0.75,3,1,1,1
3,STANFORD,8,0.375,0.4375,0.5454545454545454,0.75,0.0,0,4,1,3
3,TRINITY,9,0.6666666666666666,0.65,0.6666666666666666,0.75,0.6,3,2,1,3
3,UCLA,20,0.5,0.5858585858585859,0.5454545454545454,0.5454545454545454,0.4444444444444444,4,5,5,6
3,UM,27,0.5925925925925926,0.6703296703296704,0.5925925925925926,0.6153846153846154,0.5714285714285714,8,6,5,8
3,USM,14,0.5,0.4888888888888889,0.5882352941176471,0.5555555555555556,0.4,2,3,4,5
3,YALE,12,0.25,0.3888888888888889,0.18181818181818182,0.16666666666666666,0.3333333333333333,2,4,5,1
4,CALTECH,8,0.625,0.75,0.6666666666666666,0.75,0.5,2,2,1,3
4,CMU,6,0.8333333333333334,1.0,0.8,0.6666666666666666,1.0,3,0,1,2
4,KKI,10,0.2,0.25,0.3333333333333333,0.5,0.0,0,6,2,2
4,LEUVEN,13,0.6153846153846154,0.45238095238095244,0.6153846153846154,0.6666666666666666,0.5714285714285714,4,3,2,4
4,MAX_MUN,9,0.4444444444444444,0.65,0.4444444444444444,0.5,0.4,2,3,2,2
4,NYU,35,0.6285714285714286,0.7,0.6285714285714286,0.7333333333333333,0.55,11,9,4,11
4,OHSU,6,0.16666666666666666,0.11111111111111112,0.0,0.0,0.3333333333333333,1,2,3,0
4,OLIN,6,0.3333333333333333,0.11111111111111112,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2,1
4,PITT,11,0.6363636363636364,0.6333333333333333,0.6,0.6,0.6666666666666666,4,2,2,3
4,SBL,6,0.5,0.22222222222222224,0.0,0.0,1.0,3,0,3,0
4,SDSU,8,0.75,0.5333333333333333,0.5,0.3333333333333333,1.0,5,0,2,1
4,STANFORD,8,0.25,0.25,0.25,0.25,0.25,1,3,3,1
4,TRINITY,9,0.4444444444444444,0.45,0.4444444444444444,0.5,0.4,2,3,2,2
4,UCLA,19,0.7368421052631579,0.6931818181818181,0.7619047619047619,0.7272727272727273,0.75,6,2,3,8
4,UM,28,0.5357142857142857,0.5384615384615385,0.5517241379310345,0.6153846153846154,0.4666666666666667,7,8,5,8
4,USM,14,0.5714285714285714,0.35555555555555557,0.6666666666666666,0.6666666666666666,0.4,2,3,3,6
4,YALE,11,0.6363636363636364,0.7333333333333334,0.6666666666666666,0.6666666666666666,0.6,3,2,2,4
5,CALTECH,8,0.375,0.4375,0.2857142857142857,0.25,0.5,2,2,3,1
5,CMU,5,0.0,0.0,0.0,0.0,0.0,0,2,3,0
5,KKI,10,0.4,0.29166666666666663,0.4,0.5,0.3333333333333333,2,4,2,2
5,LEUVEN,12,0.3333333333333333,0.39999999999999997,0.2,0.2,0.42857142857142855,3,4,4,1
5,MAX_MUN,11,0.7272727272727273,0.4,0.5714285714285714,0.4,1.0,6,0,3,2
5,NYU,35,0.6285714285714286,0.7233333333333334,0.5806451612903226,0.6,0.65,13,7,6,9
5,OHSU,5,0.4,0.5,0.4,0.5,0.3333333333333333,1,2,1,1
5,OLIN,7,0.7142857142857143,1.0,0.6666666666666666,0.5,1.0,3,0,2,2
5,PITT,11,0.45454545454545453,0.6333333333333333,0.5,0.5,0.4,2,3,3,3
5,SBL,6,0.5,0.4444444444444445,0.4,0.3333333333333333,0.6666666666666666,2,1,2,1
5,SDSU,8,0.25,0.13333333333333333,0.25,0.3333333333333333,0.2,1,4,2,1
5,STANFORD,7,0.14285714285714285,0.08333333333333333,0.25,0.3333333333333333,0.0,0,4,2,1
5,TRINITY,9,0.4444444444444444,0.45,0.2857142857142857,0.25,0.6,3,2,3,1
5,UCLA,20,0.6,0.7070707070707072,0.6666666666666666,0.7272727272727273,0.4444444444444444,4,5,3,8
5,UM,29,0.5172413793103449,0.5714285714285714,0.5333333333333333,0.5714285714285714,0.4666666666666667,7,8,6,8
5,USM,14,0.7142857142857143,0.6888888888888889,0.7777777777777778,0.7777777777777778,0.6,3,2,2,7
5,YALE,10,0.4,0.52,0.5,0.6,0.2,1,4,2,3
