Site,Total_Samples,ACC_Mean,ACC_Std,AUC_Mean,AUC_Std,F1_Mean,Sens_Mean,Spec_Mean,TN_Total,FP_Total,FN_Total,TP_Total
CALTECH,37,0.41785714285714287,0.23200545384159596,0.4569444444444445,0.1642416166566054,0.3911111111111111,0.36666666666666664,0.4666666666666666,8,10,12,7
CMU,27,0.4533333333333333,0.11690451944500123,0.35555555555555557,0.3250830852961732,0.27999999999999997,0.26666666666666666,0.6666666666666666,8,5,10,4
KKI,48,0.5222222222222223,0.21430335024428793,0.525,0.26225517683694594,0.5290909090909091,0.65,0.4333333333333333,12,16,7,13
LEUVEN,63,0.5269230769230769,0.1370656129323497,0.4947619047619048,0.15597255412963965,0.4432400932400933,0.44000000000000006,0.5904761904761904,20,14,16,13
MAX_MUN,52,0.5783838383838383,0.06812605276545448,0.5726666666666667,0.10959318713618409,0.5404040404040404,0.54,0.6133333333333333,17,11,11,13
NYU,175,0.5542857142857143,0.07171371656006365,0.5416666666666666,0.09895004351242659,0.4950275282526803,0.52,0.58,58,42,36,39
OHSU,26,0.6133333333333334,0.28925190866555517,0.48888888888888893,0.33407325285273126,0.5733333333333334,0.6333333333333333,0.6,9,5,5,7
OLIN,34,0.49523809523809526,0.14907119849998599,0.5833333333333334,0.1394433377556793,0.4976190476190476,0.4666666666666666,0.5333333333333333,8,7,10,9
PITT,56,0.5333333333333333,0.155404623090401,0.658888888888889,0.0377777777777778,0.4454545454545455,0.4,0.6599999999999999,18,9,17,12
SBL,30,0.5666666666666667,0.19002923751652304,0.4444444444444445,0.24343224778007386,0.3380952380952381,0.3333333333333333,0.8,12,3,10,5
SDSU,36,0.6702380952380953,0.15439516987498553,0.6833333333333332,0.16158932858054428,0.6576190476190475,0.8,0.58,13,9,3,11
STANFORD,39,0.4321428571428571,0.13207044347928998,0.39583333333333337,0.16666666666666669,0.4682539682539682,0.5166666666666667,0.35,7,13,9,10
TRINITY,47,0.42444444444444446,0.12726952056245647,0.48200000000000004,0.13166624472506233,0.3477777777777778,0.37,0.48,12,13,14,8
UCLA,98,0.51,0.07820705524634405,0.5323232323232323,0.09462657316064943,0.5260108828220283,0.5145454545454545,0.5,22,22,26,28
UM,140,0.5073800401386608,0.06476227539139996,0.5574725274725274,0.0677402586140198,0.5275072035982852,0.5901098901098901,0.43238095238095237,32,42,27,39
USM,71,0.6057142857142856,0.10719046561316616,0.6075555555555556,0.14930687596315365,0.6604636591478696,0.6333333333333333,0.56,14,11,17,29
YALE,56,0.5378787878787878,0.09612558742764785,0.5057777777777777,0.16400150556370052,0.5627705627705628,0.6133333333333333,0.4666666666666666,13,15,11,17
