Fold,Site,N_Samples,ACC,AUC,F1,Sens,Spec,TN,FP,FN,TP
1,CALTECH,8,0.5,0.5625,0.5,0.5,0.5,2,2,2,2
1,CMU,4,0.75,1.0,0.6666666666666666,0.5,1.0,2,0,1,1
1,KKI,9,0.6666666666666666,0.85,0.7272727272727273,1.0,0.4,2,3,0,4
1,LEUVEN,13,0.6153846153846154,0.738095238095238,0.4444444444444444,0.3333333333333333,0.8571428571428571,6,1,4,2
1,MAX_MUN,11,0.45454545454545453,0.3666666666666667,0.5,0.6,0.3333333333333333,2,4,2,3
1,NYU,35,0.6,0.73,0.631578947368421,0.8,0.45,9,11,3,12
1,OHSU,4,0.5,0.5,0.5,0.5,0.5,1,1,1,1
1,OLIN,7,0.7142857142857143,0.5833333333333334,0.75,0.75,0.6666666666666666,2,1,1,3
1,PITT,11,0.6363636363636364,0.7000000000000001,0.6,0.5,0.8,4,1,3,3
1,SBL,6,0.8333333333333334,0.888888888888889,0.8571428571428571,1.0,0.6666666666666666,2,1,0,3
1,SDSU,7,0.5714285714285714,0.41666666666666663,0.5714285714285714,0.6666666666666666,0.5,2,2,1,2
1,STANFORD,8,0.625,0.75,0.7272727272727273,1.0,0.25,1,3,0,4
1,TRINITY,10,0.4,0.44000000000000006,0.5714285714285714,0.8,0.0,0,5,1,4
1,UCLA,20,0.6,0.6464646464646464,0.7142857142857143,0.9090909090909091,0.2222222222222222,2,7,1,10
1,UM,28,0.5357142857142857,0.7282051282051283,0.6666666666666666,1.0,0.13333333333333333,2,13,0,13
1,USM,15,0.6666666666666666,0.58,0.8,1.0,0.0,0,5,0,10
1,YALE,11,0.8181818181818182,0.9333333333333333,0.8,0.8,0.8333333333333334,5,1,1,4
2,CALTECH,7,0.5714285714285714,0.6666666666666667,0.6666666666666666,0.75,0.3333333333333333,1,2,1,3
2,CMU,6,0.6666666666666666,0.6666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,2
2,KKI,9,0.3333333333333333,0.6,0.5,0.75,0.0,0,5,1,3
2,LEUVEN,12,0.6666666666666666,0.6944444444444444,0.6,0.5,0.8333333333333334,5,1,3,3
2,MAX_MUN,11,0.45454545454545453,0.3333333333333333,0.4,0.4,0.5,3,3,3,2
2,NYU,35,0.6571428571428571,0.6266666666666667,0.7,0.9333333333333333,0.45,9,11,1,14
2,OHSU,5,0.6,0.5,0.5,0.5,0.6666666666666666,2,1,1,1
2,OLIN,7,0.7142857142857143,0.75,0.75,0.75,0.6666666666666666,2,1,1,3
