Fold,Site,N_Samples,ACC,AUC,F1,Sens,Spec,TN,FP,FN,TP
1,CALTECH,8,0.375,0.625,0.0,0.0,0.75,3,1,4,0
1,CMU,4,0.5,0.5,0.0,0.0,1.0,2,0,2,0
1,KKI,9,0.6666666666666666,0.65,0.6666666666666666,0.75,0.6,3,2,1,3
1,LEUVEN,13,0.5384615384615384,0.5714285714285714,0.4,0.3333333333333333,0.7142857142857143,5,2,4,2
1,MAX_MUN,11,0.45454545454545453,0.5,0.5,0.6,0.3333333333333333,2,4,2,3
1,NYU,35,0.5428571428571428,0.66,0.4666666666666667,0.4666666666666667,0.6,12,8,8,7
1,OHSU,4,0.75,0.5,0.8,1.0,0.5,1,1,0,2
1,OLIN,7,0.8571428571428571,0.6666666666666667,0.8888888888888888,1.0,0.6666666666666666,2,1,0,4
1,PITT,11,0.5454545454545454,0.7333333333333334,0.6153846153846154,0.6666666666666666,0.4,2,3,2,4
1,SBL,6,0.8333333333333334,0.888888888888889,0.8,0.6666666666666666,1.0,3,0,1,2
1,SDSU,7,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,2,2,2,1
1,STANFORD,8,0.625,0.6875,0.6666666666666666,0.75,0.5,2,2,1,3
1,TRINITY,10,0.6,0.56,0.6,0.6,0.6,3,2,2,3
1,UCLA,20,0.45,0.4444444444444444,0.56,0.6363636363636364,0.2222222222222222,2,7,4,7
1,UM,28,0.6428571428571429,0.6871794871794872,0.7222222222222222,1.0,0.3333333333333333,5,10,0,13
1,USM,15,0.8,0.7,0.8695652173913043,1.0,0.4,2,3,0,10
1,YALE,11,0.8181818181818182,0.7333333333333334,0.75,0.6,1.0,6,0,2,3
2,CALTECH,7,0.7142857142857143,0.75,0.75,0.75,0.6666666666666666,2,1,1,3
2,CMU,6,0.3333333333333333,0.33333333333333337,0.0,0.0,0.6666666666666666,2,1,3,0
2,KKI,9,0.5555555555555556,0.5499999999999999,0.6,0.75,0.4,2,3,1,3
2,LEUVEN,12,0.75,0.8055555555555556,0.7272727272727273,0.6666666666666666,0.8333333333333334,5,1,2,4
2,MAX_MUN,11,0.36363636363636365,0.36666666666666664,0.2222222222222222,0.2,0.5,3,3,4,1
2,NYU,35,0.5142857142857142,0.5933333333333333,0.45161290322580644,0.4666666666666667,0.55,11,9,8,7
2,OHSU,5,0.8,0.6666666666666667,0.8,1.0,0.6666666666666666,2,1,0,2
2,OLIN,7,1.0,1.0,1.0,1.0,1.0,3,0,0,4
2,PITT,11,0.6363636363636364,0.7,0.6666666666666666,0.6666666666666666,0.6,3,2,2,4
2,SBL,6,0.5,0.888888888888889,0.0,0.0,1.0,3,0,3,0
2,SDSU,7,0.8571428571428571,0.75,0.8571428571428571,1.0,0.75,3,1,0,3
2,STANFORD,8,0.5,0.3125,0.6,0.75,0.25,1,3,1,3
2,TRINITY,10,0.7,0.84,0.6666666666666666,0.6,0.8,4,1,2,3
2,UCLA,19,0.5789473684210527,0.5888888888888889,0.5,0.4,0.7777777777777778,7,2,6,4
2,UM,28,0.6071428571428571,0.6615384615384616,0.6206896551724138,0.6923076923076923,0.5333333333333333,8,7,4,9
2,USM,14,0.7857142857142857,0.8222222222222222,0.8421052631578947,0.8888888888888888,0.6,3,2,1,8
2,YALE,12,0.4166666666666667,0.41666666666666663,0.5333333333333333,0.6666666666666666,0.16666666666666666,1,5,2,4
3,CALTECH,6,0.3333333333333333,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2,1
3,CMU,6,0.5,0.7777777777777779,0.6666666666666666,1.0,0.0,0,3,0,3
3,KKI,10,0.7,0.7083333333333333,0.6666666666666666,0.75,0.6666666666666666,4,2,1,3
3,LEUVEN,13,0.3076923076923077,0.30952380952380953,0.4,0.5,0.14285714285714285,1,6,3,3
3,MAX_MUN,10,0.7,0.76,0.7272727272727273,0.8,0.6,3,2,1,4
3,NYU,35,0.45714285714285713,0.44,0.2962962962962963,0.26666666666666666,0.6,12,8,11,4
3,OHSU,6,0.8333333333333334,0.888888888888889,0.8,0.6666666666666666,1.0,3,0,1,2
3,OLIN,7,0.8571428571428571,0.75,0.8571428571428571,0.75,1.0,3,0,1,3
3,PITT,12,0.5833333333333334,0.4166666666666667,0.5454545454545454,0.5,0.6666666666666666,4,2,3,3
3,SBL,6,0.3333333333333333,0.22222222222222224,0.5,0.6666666666666666,0.0,0,3,1,2
3,SDSU,6,0.5,0.5,0.0,0.0,0.75,3,1,2,0
3,STANFORD,8,0.375,0.5,0.5454545454545454,0.75,0.0,0,4,1,3
3,TRINITY,9,0.6666666666666666,0.55,0.7272727272727273,1.0,0.4,2,3,0,4
3,UCLA,20,0.55,0.5909090909090908,0.5263157894736842,0.45454545454545453,0.6666666666666666,6,3,6,5
3,UM,27,0.6296296296296297,0.6813186813186813,0.6153846153846154,0.6153846153846154,0.6428571428571429,9,5,5,8
3,USM,14,0.6428571428571429,0.7111111111111111,0.7058823529411765,0.6666666666666666,0.6,3,2,3,6
3,YALE,12,0.5,0.5833333333333334,0.4,0.3333333333333333,0.6666666666666666,4,2,4,2
4,CALTECH,8,0.375,0.1875,0.2857142857142857,0.25,0.5,2,2,3,1
4,CMU,6,0.8333333333333334,1.0,0.8,0.6666666666666666,1.0,3,0,1,2
4,KKI,10,0.5,0.5,0.5454545454545454,0.75,0.3333333333333333,2,4,1,3
4,LEUVEN,13,0.38461538461538464,0.5714285714285714,0.2,0.16666666666666666,0.5714285714285714,4,3,5,1
4,MAX_MUN,9,0.5555555555555556,0.4,0.5,0.5,0.6,3,2,2,2
4,NYU,35,0.8571428571428571,0.8633333333333333,0.8484848484848485,0.9333333333333333,0.8,16,4,1,14
4,OHSU,6,0.3333333333333333,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2,1
4,OLIN,6,0.5,0.22222222222222224,0.5714285714285714,0.6666666666666666,0.3333333333333333,1,2,1,2
4,PITT,11,0.6363636363636364,0.6666666666666667,0.6,0.6,0.6666666666666666,4,2,2,3
4,SBL,6,0.3333333333333333,0.22222222222222224,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2,1
4,SDSU,8,0.875,0.7333333333333333,0.8,0.6666666666666666,1.0,5,0,1,2
4,STANFORD,8,0.625,0.875,0.7272727272727273,1.0,0.25,1,3,0,4
4,TRINITY,9,0.2222222222222222,0.19999999999999996,0.2222222222222222,0.25,0.2,1,4,3,1
4,UCLA,19,0.5789473684210527,0.6590909090909091,0.6,0.5454545454545454,0.625,5,3,5,6
4,UM,28,0.6428571428571429,0.7564102564102564,0.7058823529411765,0.9230769230769231,0.4,6,9,1,12
4,USM,14,0.5714285714285714,0.6888888888888889,0.7,0.7777777777777778,0.2,1,4,2,7
4,YALE,11,0.5454545454545454,0.7333333333333333,0.5454545454545454,0.5,0.6,3,2,3,3
5,CALTECH,8,0.5,0.4375,0.5,0.5,0.5,2,2,2,2
5,CMU,5,0.4,0.5,0.5714285714285714,0.6666666666666666,0.0,0,2,1,2
5,KKI,10,0.3,0.16666666666666669,0.46153846153846156,0.75,0.0,0,6,1,3
5,LEUVEN,12,0.5,0.4571428571428572,0.25,0.2,0.7142857142857143,5,2,4,1
5,MAX_MUN,11,0.45454545454545453,0.5333333333333333,0.5,0.6,0.3333333333333333,2,4,2,3
5,NYU,35,0.6285714285714286,0.63,0.6285714285714286,0.7333333333333333,0.55,11,9,4,11
5,OHSU,5,0.2,0.0,0.3333333333333333,0.5,0.0,0,3,1,1
5,OLIN,7,0.7142857142857143,0.8333333333333334,0.75,0.75,0.6666666666666666,2,1,1,3
5,PITT,11,0.7272727272727273,0.5666666666666667,0.6666666666666666,0.5,1.0,5,0,3,3
5,SBL,6,0.5,0.22222222222222224,0.0,0.0,1.0,3,0,3,0
5,SDSU,8,0.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6,3,2,2,1
5,STANFORD,7,0.5714285714285714,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.5,2,2,1,2
5,TRINITY,9,0.4444444444444444,0.35,0.0,0.0,0.8,4,1,4,0
5,UCLA,20,0.5,0.5959595959595959,0.5833333333333334,0.6363636363636364,0.3333333333333333,3,6,4,7
5,UM,29,0.5862068965517241,0.5476190476190477,0.6470588235294118,0.7857142857142857,0.4,6,9,3,11
5,USM,14,0.7142857142857143,0.8222222222222222,0.7777777777777778,0.7777777777777778,0.6,3,2,2,7
5,YALE,10,0.5,0.56,0.5454545454545454,0.6,0.4,2,3,2,3
