Site,Total_Samples,ACC_Mean,ACC_Std,AUC_Mean,AUC_Std,F1_Mean,Sens_Mean,Spec_Mean,TN_Total,FP_Total,FN_Total,TP_Total
CALTECH,37,0.44761904761904764,0.1828553602343664,0.46527777777777785,0.16374758503543885,0.4428571428571429,0.41666666666666663,0.4833333333333333,9,9,11,8
CMU,27,0.5133333333333333,0.1520233900132184,0.6555555555555556,0.22879178091082222,0.36428571428571427,0.4,0.6,8,5,8,6
KKI,48,0.5,0.16996731711975951,0.5900000000000001,0.225055548698538,0.6044289044289044,0.9,0.21333333333333332,6,22,2,18
LEUVEN,63,0.5717948717948718,0.03312310431477904,0.5384126984126983,0.14112316266140212,0.44931068931068935,0.4066666666666666,0.7,24,10,17,12
MAX_MUN,52,0.5256565656565657,0.17961856898282091,0.5326666666666666,0.18821264569629745,0.5139238539238539,0.54,0.5133333333333333,14,14,11,13
NYU,175,0.5885714285714285,0.11175775551775971,0.6453333333333333,0.12437577470445492,0.5398546662066586,0.5733333333333334,0.6,60,40,32,43
OHSU,26,0.45999999999999996,0.19206480387850577,0.49444444444444446,0.35763282087624626,0.4333333333333333,0.4333333333333333,0.5,7,7,7,5
OLIN,34,0.6619047619047619,0.2859126295672014,0.6500000000000001,0.34318767136623335,0.7126984126984126,0.7666666666666666,0.5333333333333333,8,7,4,15
PITT,56,0.6803030303030303,0.09284553757486988,0.7266666666666668,0.07423685817106697,0.6685314685314685,0.6599999999999999,0.7133333333333333,19,8,10,19
SBL,30,0.6333333333333333,0.13944333775567924,0.6666666666666667,0.25337231668869736,0.5242857142857142,0.5333333333333333,0.7333333333333333,11,4,7,8
SDSU,36,0.5571428571428572,0.09313146293146642,0.6316666666666667,0.1038695763392192,0.4609523809523809,0.5,0.5900000000000001,13,9,7,7
STANFORD,39,0.5142857142857142,0.2002071631167709,0.5208333333333333,0.20581815058714115,0.6088311688311688,0.7833333333333333,0.25,5,15,4,15
TRINITY,47,0.6355555555555557,0.15120911854403557,0.6779999999999999,0.12006664815842906,0.55,0.58,0.68,17,8,9,13
UCLA,98,0.633157894736842,0.10743805791286735,0.6450505050505051,0.12399104074851296,0.6761026413200326,0.7181818181818181,0.525,23,21,15,39
UM,140,0.5931490603904397,0.07947168768387121,0.6626373626373627,0.08448001476748598,0.633990153448375,0.7582417582417582,0.44571428571428573,33,41,16,50
USM,71,0.7466666666666667,0.10740180348714004,0.768888888888889,0.10385174618264821,0.8019989367357787,0.8244444444444443,0.6,15,10,8,38
YALE,56,0.5627272727272727,0.19896887547251008,0.6433333333333333,0.16316317667360558,0.5468531468531468,0.5533333333333333,0.5733333333333334,16,12,13,15
