Fold,Site,N_Samples,ACC,AUC,F1,Sens,Spec,TN,FP,FN,TP
1,CALTECH,8,0.5,0.4375,0.3333333333333333,0.25,0.75,3,1,3,1
1,CMU,4,0.75,0.75,0.6666666666666666,0.5,1.0,2,0,1,1
1,KKI,9,0.5555555555555556,0.6,0.5,0.5,0.6,3,2,2,2
1,LEUVEN,13,0.5384615384615384,0.5714285714285714,0.5,0.5,0.5714285714285714,4,3,3,3
1,MAX_MUN,11,0.45454545454545453,0.4,0.4,0.4,0.5,3,3,3,2
1,NYU,35,0.6857142857142857,0.68,0.6206896551724138,0.6,0.75,15,5,6,9
1,OHSU,4,0.5,0.75,0.5,0.5,0.5,1,1,1,1
1,OLIN,7,0.2857142857142857,0.25,0.4444444444444444,0.5,0.0,0,3,2,2
1,PITT,11,0.6363636363636364,0.6333333333333333,0.6666666666666666,0.6666666666666666,0.6,3,2,2,4
1,SBL,6,0.6666666666666666,1.0,0.5,0.3333333333333333,1.0,3,0,2,1
1,SDSU,7,0.5714285714285714,0.5833333333333333,0.4,0.3333333333333333,0.75,3,1,2,1
1,STANFORD,8,0.75,0.875,0.75,0.75,0.75,3,1,1,3
1,TRINITY,10,0.5,0.4800000000000001,0.4444444444444444,0.4,0.6,3,2,3,2
1,UCLA,20,0.5,0.6363636363636364,0.6153846153846154,0.7272727272727273,0.2222222222222222,2,7,3,8
1,UM,28,0.6071428571428571,0.6230769230769231,0.6206896551724138,0.6923076923076923,0.5333333333333333,8,7,4,9
1,USM,15,0.6666666666666666,0.6800000000000002,0.7619047619047619,0.8,0.4,2,3,2,8
1,YALE,11,0.8181818181818182,0.8333333333333334,0.8,0.8,0.8333333333333334,5,1,1,4
2,CALTECH,7,0.5714285714285714,0.75,0.6666666666666666,0.75,0.3333333333333333,1,2,1,3
2,CMU,6,0.5,0.6666666666666667,0.4,0.3333333333333333,0.6666666666666666,2,1,2,1
2,KKI,9,0.4444444444444444,0.5499999999999999,0.5454545454545454,0.75,0.2,1,4,1,3
2,LEUVEN,12,0.5833333333333334,0.7222222222222222,0.4444444444444444,0.3333333333333333,0.8333333333333334,5,1,4,2
2,MAX_MUN,11,0.36363636363636365,0.2333333333333333,0.46153846153846156,0.6,0.16666666666666666,1,5,2,3
2,NYU,35,0.6571428571428571,0.6983333333333333,0.7,0.9333333333333333,0.45,9,11,1,14
2,OHSU,5,0.6,0.6666666666666667,0.6666666666666666,1.0,0.3333333333333333,1,2,0,2
2,OLIN,7,0.7142857142857143,0.75,0.75,0.75,0.6666666666666666,2,1,1,3
2,PITT,11,0.6363636363636364,0.6,0.7142857142857143,0.8333333333333334,0.4,2,3,1,5
2,SBL,6,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,2
2,SDSU,7,0.7142857142857143,0.75,0.75,1.0,0.5,2,2,0,3
2,STANFORD,8,0.5,0.6875,0.6666666666666666,1.0,0.0,0,4,0,4
2,TRINITY,10,0.7,0.76,0.6666666666666666,0.6,0.8,4,1,2,3
2,UCLA,19,0.5789473684210527,0.5944444444444444,0.6363636363636364,0.7,0.4444444444444444,4,5,3,7
2,UM,28,0.5,0.676923076923077,0.631578947368421,0.9230769230769231,0.13333333333333333,2,13,1,12
2,USM,14,0.7857142857142857,0.8444444444444444,0.8421052631578947,0.8888888888888888,0.6,3,2,1,8
2,YALE,12,0.5,0.4444444444444444,0.5,0.5,0.5,3,3,3,3
3,CALTECH,6,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,2
3,CMU,6,0.5,0.5555555555555556,0.6666666666666666,1.0,0.0,0,3,0,3
3,KKI,10,0.8,0.7083333333333334,0.8,1.0,0.6666666666666666,4,2,0,4
3,LEUVEN,13,0.5384615384615384,0.5714285714285715,0.5714285714285714,0.6666666666666666,0.42857142857142855,3,4,2,4
3,MAX_MUN,10,0.6,0.8,0.6,0.6,0.6,3,2,2,3
3,NYU,35,0.45714285714285713,0.4666666666666666,0.4864864864864865,0.6,0.35,7,13,6,9
3,OHSU,6,0.5,0.5555555555555556,0.4,0.3333333333333333,0.6666666666666666,2,1,2,1
3,OLIN,7,0.7142857142857143,0.8333333333333334,0.8,1.0,0.3333333333333333,1,2,0,4
3,PITT,12,0.5833333333333334,0.7777777777777778,0.5454545454545454,0.5,0.6666666666666666,4,2,3,3
3,SBL,6,0.8333333333333334,1.0,0.8571428571428571,1.0,0.6666666666666666,2,1,0,3
3,SDSU,6,0.5,0.625,0.0,0.0,0.75,3,1,2,0
3,STANFORD,8,0.5,0.6875,0.6666666666666666,1.0,0.0,0,4,0,4
3,TRINITY,9,0.7777777777777778,0.8500000000000001,0.8,1.0,0.6,3,2,0,4
3,UCLA,20,0.55,0.5555555555555556,0.6086956521739131,0.6363636363636364,0.4444444444444444,4,5,4,7
3,UM,27,0.5185185185185185,0.6538461538461539,0.5806451612903226,0.6923076923076923,0.35714285714285715,5,9,4,9
3,USM,14,0.6428571428571429,0.5555555555555556,0.7368421052631579,0.7777777777777778,0.4,2,3,2,7
3,YALE,12,0.5833333333333334,0.5833333333333333,0.5454545454545454,0.5,0.6666666666666666,4,2,3,3
4,CALTECH,8,0.5,0.625,0.3333333333333333,0.25,0.75,3,1,3,1
4,CMU,6,1.0,1.0,1.0,1.0,1.0,3,0,0,3
4,KKI,10,0.3,0.125,0.36363636363636365,0.5,0.16666666666666666,1,5,2,2
4,LEUVEN,13,0.38461538461538464,0.40476190476190477,0.42857142857142855,0.5,0.2857142857142857,2,5,3,3
4,MAX_MUN,9,0.6666666666666666,0.8,0.6666666666666666,0.75,0.6,3,2,1,3
4,NYU,35,0.6285714285714286,0.7166666666666667,0.6060606060606061,0.6666666666666666,0.6,12,8,5,10
4,OHSU,6,0.3333333333333333,0.22222222222222224,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2,1
4,OLIN,6,0.16666666666666666,0.11111111111111112,0.0,0.0,0.3333333333333333,1,2,3,0
4,PITT,11,0.5454545454545454,0.5666666666666667,0.5454545454545454,0.6,0.5,3,3,2,3
4,SBL,6,0.5,0.33333333333333337,0.4,0.3333333333333333,0.6666666666666666,2,1,2,1
4,SDSU,8,0.75,0.7333333333333333,0.5,0.3333333333333333,1.0,5,0,2,1
4,STANFORD,8,0.625,0.5,0.5714285714285714,0.5,0.75,3,1,2,2
4,TRINITY,9,0.5555555555555556,0.55,0.6,0.75,0.4,2,3,1,3
4,UCLA,19,0.5263157894736842,0.7159090909090909,0.5714285714285714,0.5454545454545454,0.5,4,4,5,6
4,UM,28,0.6785714285714286,0.6666666666666666,0.6896551724137931,0.7692307692307693,0.6,9,6,3,10
4,USM,14,0.5,0.5111111111111111,0.631578947368421,0.6666666666666666,0.2,1,4,3,6
4,YALE,11,0.9090909090909091,0.8,0.9230769230769231,1.0,0.8,4,1,0,6
5,CALTECH,8,0.625,0.5625,0.5714285714285714,0.5,0.75,3,1,2,2
5,CMU,5,0.6,0.5833333333333333,0.6666666666666666,0.6666666666666666,0.5,1,1,1,2
5,KKI,10,0.4,0.5416666666666666,0.5,0.75,0.16666666666666666,1,5,1,3
5,LEUVEN,12,0.5,0.2571428571428572,0.0,0.0,0.8571428571428571,6,1,5,0
5,MAX_MUN,11,0.45454545454545453,0.4666666666666667,0.5,0.6,0.3333333333333333,2,4,2,3
5,NYU,35,0.5142857142857142,0.6366666666666667,0.5405405405405406,0.6666666666666666,0.4,8,12,5,10
5,OHSU,5,0.6,0.8333333333333334,0.5,0.5,0.6666666666666666,2,1,1,1
5,OLIN,7,0.8571428571428571,0.7500000000000001,0.8888888888888888,1.0,0.6666666666666666,2,1,0,4
5,PITT,11,0.45454545454545453,0.5333333333333333,0.5,0.5,0.4,2,3,3,3
5,SBL,6,0.5,0.4444444444444445,0.0,0.0,1.0,3,0,3,0
5,SDSU,8,0.5,0.5333333333333332,0.5,0.6666666666666666,0.4,2,3,1,2
5,STANFORD,7,0.42857142857142855,0.5,0.6,1.0,0.0,0,4,0,3
5,TRINITY,9,0.3333333333333333,0.24999999999999997,0.0,0.0,0.6,3,2,4,0
5,UCLA,20,0.65,0.6565656565656566,0.72,0.8181818181818182,0.4444444444444444,4,5,2,9
5,UM,29,0.5517241379310345,0.6190476190476191,0.6666666666666666,0.9285714285714286,0.2,3,12,1,13
5,USM,14,0.5,0.711111111111111,0.6666666666666666,0.7777777777777778,0.0,0,5,2,7
5,YALE,10,0.5,0.52,0.5454545454545454,0.6,0.4,2,3,2,3
