Site,Total_Samples,ACC_Mean,ACC_Std,AUC_Mean,AUC_Std,F1_Mean,Sens_Mean,Spec_Mean,TN_Total,FP_Total,FN_Total,TP_Total
CALTECH,37,0.5607142857142857,0.12727521200861044,0.4569444444444445,0.14890288076875668,0.5109523809523809,0.4666666666666666,0.65,12,6,10,9
CMU,27,0.6466666666666667,0.2280350850198276,0.7611111111111111,0.17356110390903678,0.5976190476190476,0.6666666666666666,0.6,8,5,4,10
KKI,48,0.5022222222222222,0.14216144534721742,0.5933333333333333,0.21611468149007265,0.575944055944056,0.8,0.2866666666666667,8,20,4,16
LEUVEN,63,0.5717948717948718,0.10240372075751722,0.6050793650793651,0.1428902959766805,0.37777777777777777,0.33333333333333337,0.7666666666666667,26,8,19,10
MAX_MUN,52,0.5397979797979798,0.15113352612881964,0.48133333333333334,0.21575294513246707,0.48797979797979796,0.5,0.5733333333333334,16,12,12,12
NYU,175,0.6342857142857142,0.04237827706911807,0.6839999999999999,0.027600322059312576,0.5840078201368524,0.6266666666666667,0.64,64,36,28,47
OHSU,26,0.58,0.17575235101952089,0.5222222222222223,0.23985592383247673,0.5,0.4333333333333333,0.7,10,4,7,5
OLIN,34,0.5761904761904761,0.23714094472359493,0.6,0.32231799343022866,0.5742857142857143,0.6,0.5333333333333333,8,7,7,12
PITT,56,0.6045454545454545,0.11087555379682246,0.6888888888888889,0.07131914015947209,0.5378787878787878,0.47333333333333333,0.74,20,7,15,14
SBL,30,0.7,0.2173067468400883,0.8,0.17777777777777773,0.5847619047619047,0.6,0.8,12,3,6,9
SDSU,36,0.5535714285714286,0.11434150423987233,0.6483333333333333,0.16418147141366335,0.39428571428571424,0.4333333333333333,0.64,14,8,8,6
STANFORD,39,0.5678571428571428,0.09813308331452919,0.6833333333333333,0.12527746981977425,0.6642857142857143,0.9,0.25,5,15,2,17
TRINITY,47,0.6155555555555556,0.21596753299661037,0.67,0.16419500601419035,0.5889610389610389,0.63,0.6,15,10,8,14
UCLA,98,0.6936842105263158,0.08285504479965881,0.708939393939394,0.08079033896143224,0.7456339312861052,0.8309090909090908,0.5222222222222223,23,21,9,45
UM,140,0.5722313446451378,0.06427377842839073,0.6682051282051282,0.08353781618173221,0.6444074647402821,0.8340659340659341,0.3380952380952381,25,49,11,55
USM,71,0.7466666666666667,0.08020664920044793,0.6786666666666665,0.13613065619306902,0.8132338868561779,0.8688888888888888,0.52,13,12,6,40
YALE,56,0.6657575757575758,0.12495913014139183,0.6948888888888889,0.18300860129553514,0.6518648018648019,0.6066666666666667,0.72,20,8,11,17
