Site,Total_Samples,ACC_Mean,ACC_Std,AUC_Mean,AUC_Std,F1_Mean,Sens_Mean,Spec_Mean,TN_Total,FP_Total,FN_Total,TP_Total
CALTECH,37,0.4809523809523809,0.08812740725391309,0.45833333333333337,0.2386303510546059,0.40095238095238095,0.4,0.5666666666666667,10,8,11,8
CMU,27,0.58,0.17094508539944112,0.6222222222222222,0.146565621758588,0.5042857142857142,0.5333333333333333,0.6,8,5,6,8
KKI,48,0.47777777777777775,0.0769800358919501,0.6799999999999999,0.0716085035298028,0.5826617826617826,0.9,0.18,5,23,2,18
LEUVEN,63,0.5423076923076924,0.11605928114109403,0.540952380952381,0.1381641864001961,0.4113308913308913,0.37333333333333335,0.680952380952381,23,11,18,11
MAX_MUN,52,0.463030303030303,0.21404324031279204,0.4713333333333334,0.1924069760805061,0.45904761904761904,0.5,0.4333333333333333,12,16,12,12
NYU,175,0.5599999999999999,0.05569596768462266,0.6279999999999999,0.07237556370918449,0.5606349206349206,0.6666666666666667,0.48,48,52,25,50
OHSU,26,0.4666666666666666,0.19578900207451216,0.45,0.28566578071516535,0.3904761904761905,0.4333333333333333,0.4666666666666666,7,7,7,5
OLIN,34,0.6619047619047619,0.2859126295672014,0.65,0.3511884584284246,0.6555555555555556,0.7,0.6,9,6,5,14
PITT,56,0.5878787878787879,0.059071480877630096,0.5522222222222222,0.0963276302297478,0.5093106893106893,0.44000000000000006,0.7333333333333334,20,7,16,13
SBL,30,0.5333333333333333,0.07453559924999298,0.6222222222222222,0.18053418676968805,0.4585714285714285,0.5333333333333333,0.5333333333333333,8,7,7,8
SDSU,36,0.5785714285714285,0.05144592961031406,0.6266666666666667,0.127627931460511,0.5371428571428571,0.6666666666666666,0.54,12,10,5,9
STANFORD,39,0.4928571428571429,0.18669042912407324,0.5666666666666667,0.12527746981977425,0.6057575757575757,0.8,0.2,4,16,4,15
TRINITY,47,0.6977777777777778,0.12556047188014796,0.704,0.16572265988693277,0.6606060606060605,0.71,0.6799999999999999,17,8,6,16
UCLA,98,0.6531578947368422,0.07324587666724633,0.705959595959596,0.07501889025105982,0.7132206119162641,0.7945454545454546,0.47777777777777775,21,23,11,43
UM,140,0.5576810800948732,0.030474211210955972,0.6525274725274726,0.03733935926434342,0.6444916344916345,0.8626373626373628,0.28380952380952384,21,53,9,57
USM,71,0.6619047619047619,0.10567781438653405,0.6586666666666666,0.09604114344679525,0.7550543024227234,0.8066666666666666,0.4,10,15,9,37
YALE,56,0.600909090909091,0.23527722350628513,0.64,0.24076524091855098,0.5463636363636364,0.48,0.7266666666666667,20,8,15,13
