Site,Total_Samples,ACC_Mean,ACC_Std,AUC_Mean,AUC_Std,F1_Mean,Sens_Mean,Spec_Mean,TN_Total,FP_Total,FN_Total,TP_Total
CALTECH,37,0.530952380952381,0.12179857261170769,0.49861111111111117,0.17349440521807988,0.4419047619047619,0.36666666666666664,0.7,13,5,12,7
CMU,27,0.5966666666666667,0.1425949975747162,0.65,0.2797706291558705,0.6119047619047618,0.6333333333333333,0.5333333333333333,7,6,5,9
KKI,48,0.47777777777777775,0.10999438818457406,0.5383333333333333,0.19801795653705528,0.5364102564102564,0.75,0.27999999999999997,8,20,5,15
LEUVEN,63,0.5705128205128205,0.19005086000478966,0.5084126984126984,0.1901873471325636,0.38,0.3,0.8,27,7,20,9
MAX_MUN,52,0.4917171717171717,0.15249247089019216,0.43866666666666665,0.18791960455944395,0.48484848484848475,0.53,0.4533333333333333,13,15,11,13
NYU,175,0.6742857142857143,0.06577636818983623,0.7146666666666667,0.04349201714746692,0.6629382092854579,0.7466666666666667,0.62,62,38,19,56
OHSU,26,0.5466666666666666,0.17094508539944114,0.45555555555555555,0.23674750836291686,0.4,0.36666666666666664,0.7,10,4,8,4
OLIN,34,0.5476190476190477,0.2246185983823001,0.5833333333333334,0.3374742788552765,0.5042857142857142,0.5,0.6,9,6,9,10
PITT,56,0.6242424242424243,0.07902063521457758,0.6955555555555556,0.056481177898394866,0.5982905982905983,0.58,0.6666666666666666,18,9,12,17
SBL,30,0.6333333333333333,0.2173067468400883,0.6888888888888889,0.257240820062005,0.45999999999999996,0.4,0.8666666666666666,13,2,9,6
SDSU,36,0.6071428571428571,0.16317559716515237,0.5983333333333334,0.1798456128028828,0.48,0.5666666666666667,0.64,14,8,6,8
STANFORD,39,0.5607142857142857,0.12727521200861044,0.625,0.22360679774997896,0.6621212121212121,0.8833333333333334,0.25,5,15,2,17
TRINITY,47,0.5311111111111111,0.21436095093078547,0.592,0.254668411861385,0.3833333333333333,0.37,0.6799999999999999,17,8,14,8
UCLA,98,0.6636842105263158,0.07406854652608987,0.6859090909090909,0.12133037161240598,0.7104611330698287,0.7581818181818182,0.5444444444444445,24,20,13,41
UM,140,0.6066776135741654,0.048013628753797416,0.6987545787545788,0.02818523631364301,0.6731012484188528,0.8648351648351648,0.3761904761904762,28,46,9,57
USM,71,0.718095238095238,0.15176213635734714,0.7106666666666666,0.17242153341501518,0.7802376708259061,0.8022222222222222,0.5599999999999999,14,11,9,37
YALE,56,0.6475757575757576,0.10168235890275845,0.6568888888888889,0.17039445884458299,0.6473193473193473,0.6466666666666667,0.6533333333333333,18,10,10,18
